Epoch;TrainMSE;TestMSE
1;1.077893E7;1.117428E7
2;1.0355745E7;1.0755507E7
3;9948345.0;1.0354364E7
4;9556041.0;9970427.0
5;9184711.0;9603669.0
6;8829860.0;9258331.0
7;8484209.0;8916815.0
8;8159206.5;8597058.0
9;7851140.0;8292852.0
10;7557995.0;8005066.0
11;7273888.5;7727780.0
12;7009399.5;7466191.0
13;6757786.0;7217884.0
14;6516064.5;6981645.5
15;6290381.5;6757584.5
16;6076272.0;6545262.0
17;5870870.5;6343624.0
18;5678514.5;6152748.0
19;5496022.0;5970082.5
20;5316925.5;5785118.0
21;5145052.5;5619065.5
22;4984868.5;5456260.5
23;4825653.5;5290949.0
24;4678713.0;5143702.0
25;4537498.0;5002637.5
26;4397768.0;4860016.0
27;4262235.0;4718028.0
28;4142360.5;4588976.0
29;4017899.5;4464827.0
30;3903423.75;4345247.5
31;3790440.25;4221180.0
32;3684336.75;4118998.5
33;3616645.75;4017430.25
34;3474750.25;3900686.25
35;3384608.5;3795989.75
36;3296425.0;3707279.75
37;3199132.25;3612189.5
38;3113844.5;3521001.5
39;3030074.25;3444721.25
40;2966269.0;3355297.5
41;2881497.25;3278862.75
42;2817628.5;3200507.0
43;2745710.25;3121908.5
44;2768441.75;3160066.0
45;2608669.0;2989043.75
46;3311373.75;3669760.0
47;3233765.5;3579421.25
48;3126795.5;3505155.25
49;3036193.25;3388307.5
50;2949663.75;3305411.75
51;2876793.0;3236943.5
52;2796002.25;3148582.0
53;2717175.0;3058201.25
54;2643531.75;2998312.0
55;2605106.75;2951180.5
56;2533254.5;2855674.75
57;2477830.5;2806138.0
58;2404858.25;2744365.5
59;2415371.5;2737614.5
60;2391889.75;2810096.0
61;2249714.25;2571344.5
62;2291637.75;2579176.75
63;2170098.25;2494949.5
64;2131413.75;2436799.75
65;2133099.75;2465548.75
66;2039141.375;2346028.5
67;1997614.0;2310994.0
68;1964155.0;2273366.25
69;1924051.625;2234391.5
70;2064882.875;2427659.25
71;1852024.25;2174076.5
72;1871758.75;2230209.0
73;1800648.25;2122658.25
74;1790013.375;2090202.625
75;1767643.0;2077130.25
76;1781408.875;2075204.125
77;1766592.75;2090498.375
78;1727160.25;2014133.5
79;1711582.75;2009361.875
80;1671809.75;1989998.875
81;1622396.5;1943582.125
82;1658134.375;2008692.125
83;1633080.125;1915250.875
84;1594522.625;1905283.125
85;1582100.5;1909051.75
86;1685890.125;2057745.625
87;1545942.375;1851723.0
88;1551637.625;1852300.125
89;1562786.25;1851817.875
90;1539932.0;1896664.375
91;1513095.0;1834860.0
92;1474018.875;1758451.75
93;1503631.75;1816657.0
94;1485772.125;1790705.125
95;1500245.125;1794305.75
96;1483437.25;1826781.5
97;1465676.25;1782883.75
98;1442423.625;1759341.125
99;1443433.75;1805311.0
100;1436115.125;1755293.5
101;1425344.625;1746028.875
102;1438867.25;1738960.25
103;1410353.625;1784848.25
104;1456009.375;1748282.375
105;1580708.0;1925871.25
106;1402643.0;1743929.625
107;1450111.0;1739575.5
108;1380491.75;1666574.5
109;1420973.5;1801652.875
110;1397276.0;1656609.75
111;1375029.875;1731117.0
112;1391802.25;1666599.75
113;1373750.375;1742211.375
114;1375087.375;1728366.0
115;1373876.625;1724683.75
116;1366126.875;1703575.75
117;1355763.75;1733962.125
118;1324948.375;1687370.25
119;1452628.875;1836525.5
120;1328807.625;1693358.875
