Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4802.716309;1208.660522;3900.000000;300.000000;902.716309;908.660522;1280.843737;4033.000000;498.000000
2;4802.716309;1208.660522;3915.600000;300.000000;887.116309;908.660522;1269.897354;4143.000000;490.000000
3;4802.716309;1208.660522;3931.200000;300.000000;871.516309;908.660522;1259.049094;4104.000000;499.000000
4;4802.716309;1208.660522;3946.800000;300.000000;855.916309;908.660522;1248.301515;4107.000000;476.000000
5;4802.716309;1208.660522;3962.300000;300.000000;840.416309;908.660522;1237.725138;4182.000000;482.000000
6;4802.716309;1208.660522;3977.900000;300.000000;824.816309;908.660522;1227.186167;4154.000000;473.000000
7;4802.716309;1208.660522;3993.500000;300.000000;809.216309;908.660522;1216.755924;4124.000000;517.000000
8;4802.716309;1208.660522;4009.100000;300.000000;793.616309;908.660522;1206.437230;4114.000000;470.000000
9;4802.716309;1208.660522;4024.700000;300.000000;778.016309;908.660522;1196.232971;4107.000000;507.000000
10;4802.716309;1208.660522;4040.300000;300.000000;762.416309;908.660522;1186.146101;4158.000000;468.000000
11;4802.716309;1208.660522;4055.800000;300.000000;746.916309;908.660522;1176.243137;4129.000000;372.000000
12;4802.716309;1208.660522;4071.400000;300.000000;731.316309;908.660522;1166.399369;4145.000000;302.000000
13;4802.716309;1208.660522;4087.000000;300.000000;715.716309;908.660522;1156.682229;4158.000000;317.000000
14;4802.716309;1208.660522;4102.600000;300.000000;700.116309;908.660522;1147.094935;4187.000000;318.000000
15;4802.716309;1208.660522;4118.200000;300.000000;684.516309;908.660522;1137.640770;4174.000000;371.000000
16;4802.716309;1208.660522;4133.800000;300.000000;668.916309;908.660522;1128.323080;4188.000000;382.000000
17;4802.716309;1208.660522;4149.400000;300.000000;653.316309;908.660522;1119.145274;4191.000000;333.000000
18;4802.716309;1208.660522;4164.900000;300.000000;637.816309;908.660522;1110.168270;4224.000000;324.000000
19;4802.716309;1208.660522;4180.500000;300.000000;622.216309;908.660522;1101.279746;4250.000000;312.000000
20;4802.716309;1208.660522;4196.100000;300.000000;606.616309;908.660522;1092.541666;4256.000000;384.000000
21;4802.716309;1208.660522;4211.700000;300.000000;591.016309;908.660522;1083.957666;4285.000000;362.000000
22;4802.716309;1208.660522;4227.300000;300.000000;575.416309;908.660522;1075.531438;4338.000000;422.000000
23;4802.716309;1208.660522;4242.900000;300.000000;559.816309;908.660522;1067.266717;4326.000000;368.000000
24;4802.716309;1208.660522;4258.400000;300.000000;544.316309;908.660522;1059.218669;4314.000000;324.000000
25;4802.716309;1208.660522;4274.000000;300.000000;528.716309;908.660522;1051.287249;4322.000000;354.000000
26;4802.716309;1208.660522;4289.600000;300.000000;513.116309;908.660522;1043.528769;4346.000000;400.000000
27;4802.716309;1208.660522;4305.200000;300.000000;497.516309;908.660522;1035.947114;4321.000000;382.000000
28;4802.716309;1208.660522;4320.800000;300.000000;481.916309;908.660522;1028.546194;4366.000000;375.000000
29;4802.716309;1208.660522;4336.400000;300.000000;466.316309;908.660522;1021.329939;4432.000000;396.000000
30;4802.716309;1208.660522;4351.900000;300.000000;450.816309;908.660522;1014.346730;4411.000000;384.000000
31;4802.716309;1208.660522;4367.500000;300.000000;435.216309;908.660522;1007.510387;4422.000000;425.000000
32;4802.716309;1208.660522;4383.100000;300.000000;419.616309;908.660522;1000.870517;4435.000000;386.000000
33;4802.716309;1208.660522;4398.700000;300.000000;404.016309;908.660522;994.431055;4441.000000;392.000000
34;4802.716309;1208.660522;4414.300000;300.000000;388.416309;908.660522;988.195919;4499.000000;332.000000
35;4802.716309;1208.660522;4429.900000;300.000000;372.816309;908.660522;982.169000;4449.000000;417.000000
36;4802.716309;1208.660522;4445.500000;300.000000;357.216309;908.660522;976.354155;4468.000000;438.000000
37;4802.716309;1208.660522;4461.000000;300.000000;341.716309;908.660522;970.790390;4488.000000;444.000000
38;4802.716309;1208.660522;4476.600000;300.000000;326.116309;908.660522;965.409650;4475.000000;633.000000
39;4802.716309;1208.660522;4492.200000;300.000000;310.516309;908.660522;960.252218;4483.000000;399.000000
40;4802.716309;1208.660522;4507.800000;300.000000;294.916309;908.660522;955.321712;4481.000000;344.000000
41;4802.716309;1208.660522;4523.400000;300.000000;279.316309;908.660522;950.621663;4528.000000;431.000000
42;4802.716309;1208.660522;4539.000000;300.000000;263.716309;908.660522;946.155503;4507.000000;416.000000
43;4802.716309;1208.660522;4554.500000;300.000000;248.216309;908.660522;941.952908;4522.000000;378.000000
44;4802.716309;1208.660522;4570.100000;300.000000;232.616309;908.660522;937.962842;4532.000000;394.000000
45;4802.716309;1208.660522;4585.700000;300.000000;217.016309;908.660522;934.216262;4556.000000;371.000000
46;4802.716309;1208.660522;4601.300000;300.000000;201.416309;908.660522;930.716108;4560.000000;370.000000
47;4802.716309;1208.660522;4616.900000;300.000000;185.816309;908.660522;927.465172;4575.000000;393.000000
48;4802.716309;1208.660522;4632.500000;300.000000;170.216309;908.660522;924.466082;4584.000000;346.000000
49;4802.716309;1208.660522;4648.100000;300.000000;154.616309;908.660522;921.721296;4610.000000;320.000000
50;4802.716309;1208.660522;4663.600000;300.000000;139.116309;908.660522;919.248221;4640.000000;333.000000
51;4802.716309;1208.660522;4679.200000;300.000000;123.516309;908.660522;917.017025;4667.000000;320.000000
52;4802.716309;1208.660522;4694.800000;300.000000;107.916309;908.660522;915.046378;4615.000000;280.000000
53;4802.716309;1208.660522;4710.400000;300.000000;92.316309;908.660522;913.337969;4641.000000;317.000000
54;4802.716309;1208.660522;4726.000000;300.000000;76.716309;908.660522;911.893271;4681.000000;342.000000
55;4802.716309;1208.660522;4741.600000;300.000000;61.116309;908.660522;910.713538;4741.000000;368.000000
56;4802.716309;1208.660522;4757.100000;300.000000;45.616309;908.660522;909.804810;4740.000000;376.000000
57;4802.716309;1208.660522;4772.700000;300.000000;30.016309;908.660522;909.156160;4733.000000;283.000000
58;4802.716309;1208.660522;4788.300000;300.000000;14.416309;908.660522;908.774876;4768.000000;322.000000
59;4802.716309;1208.660522;4803.900000;300.000000;-1.183691;908.660522;908.661293;4777.000000;331.000000
