Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4056.527795;410.624583;3900.000000;300.000000;156.527795;110.624583;191.673548;4033.000000;498.000000
2;4160.662555;399.943972;3915.600000;300.000000;245.062555;99.943972;264.659127;4143.000000;490.000000
3;4124.481976;407.332254;3931.200000;300.000000;193.281976;107.332254;221.084000;4104.000000;499.000000
4;4124.449206;393.830227;3946.800000;300.000000;177.649206;93.830227;200.906326;4107.000000;476.000000
5;4197.005657;393.213990;3962.300000;300.000000;234.705657;93.213990;252.538301;4182.000000;482.000000
6;4169.038663;389.588582;3977.900000;300.000000;191.138663;89.588582;211.092640;4154.000000;473.000000
7;4145.886931;416.960011;3993.500000;300.000000;152.386931;116.960011;192.097425;4124.000000;517.000000
8;4130.384557;390.041377;4009.100000;300.000000;121.284557;90.041377;151.054272;4114.000000;470.000000
9;4128.359603;411.904574;4024.700000;300.000000;103.659603;111.904574;152.538346;4107.000000;507.000000
10;4172.233106;386.546131;4040.300000;300.000000;131.933106;86.546131;157.786492;4158.000000;468.000000
11;4132.313306;337.386847;4055.800000;300.000000;76.513306;37.386847;85.159041;4129.000000;372.000000
12;4138.739110;303.766704;4071.400000;300.000000;67.339110;3.766704;67.444375;4145.000000;302.000000
13;4153.055042;309.864086;4087.000000;300.000000;66.055042;9.864086;66.787490;4158.000000;317.000000
14;4180.902688;308.873077;4102.600000;300.000000;78.302688;8.873077;78.803823;4187.000000;318.000000
15;4175.207199;334.588727;4118.200000;300.000000;57.007199;34.588727;66.679838;4174.000000;371.000000
16;4190.004671;339.318389;4133.800000;300.000000;56.204671;39.318389;68.592279;4188.000000;382.000000
17;4186.635259;315.566174;4149.400000;300.000000;37.235259;15.566174;40.358026;4191.000000;333.000000
18;4217.069978;309.768590;4164.900000;300.000000;52.169978;9.768590;53.076661;4224.000000;324.000000
19;4240.437716;303.041289;4180.500000;300.000000;59.937716;3.041289;60.014825;4250.000000;312.000000
20;4255.419298;336.831439;4196.100000;300.000000;59.319298;36.831439;69.823592;4256.000000;384.000000
21;4280.415958;324.569374;4211.700000;300.000000;68.715958;24.569374;72.976277;4285.000000;362.000000
22;4339.126444;352.030290;4227.300000;300.000000;111.826444;52.030290;123.338172;4338.000000;422.000000
23;4320.573707;325.403504;4242.900000;300.000000;77.673707;25.403504;81.722352;4326.000000;368.000000
24;4303.357390;305.310717;4258.400000;300.000000;44.957390;5.310717;45.269975;4314.000000;324.000000
25;4314.916596;318.877455;4274.000000;300.000000;40.916596;18.877455;45.061359;4322.000000;354.000000
26;4343.965431;340.271402;4289.600000;300.000000;54.365431;40.271402;67.656382;4346.000000;400.000000
27;4317.580878;332.521846;4305.200000;300.000000;12.380878;32.521846;34.798802;4321.000000;382.000000
28;4359.962342;326.794336;4320.800000;300.000000;39.162342;26.794336;47.451296;4366.000000;375.000000
29;4426.339626;333.854346;4336.400000;300.000000;89.939626;33.854346;96.100224;4432.000000;396.000000
30;4404.499614;328.942846;4351.900000;300.000000;52.599614;28.942846;60.036719;4411.000000;384.000000
31;4420.502683;349.241045;4367.500000;300.000000;53.002683;49.241045;72.346146;4422.000000;425.000000
32;4427.919344;328.716079;4383.100000;300.000000;44.819344;28.716079;53.229566;4435.000000;386.000000
33;4434.502840;331.393742;4398.700000;300.000000;35.802840;31.393742;47.617333;4441.000000;392.000000
34;4482.604752;299.873483;4414.300000;300.000000;68.304752;-0.126517;68.304869;4499.000000;332.000000
35;4445.530007;343.682523;4429.900000;300.000000;15.630007;43.682523;46.394611;4449.000000;417.000000
36;4466.681291;353.707701;4445.500000;300.000000;21.181291;53.707701;57.733562;4468.000000;438.000000
37;4486.836435;355.864253;4461.000000;300.000000;25.836435;55.864253;61.549461;4488.000000;444.000000
38;4499.212533;471.838855;4476.600000;300.000000;22.612533;171.838855;173.320278;4475.000000;633.000000
39;4476.018662;332.763220;4492.200000;300.000000;-16.181338;32.763220;36.541268;4483.000000;399.000000
40;4466.799407;306.276950;4507.800000;300.000000;-41.000593;6.276950;41.478293;4481.000000;344.000000
41;4523.860356;346.888417;4523.400000;300.000000;0.460356;46.888417;46.890677;4528.000000;431.000000
42;4501.508336;340.180529;4539.000000;300.000000;-37.491664;40.180529;54.955435;4507.000000;416.000000
43;4510.967583;320.402239;4554.500000;300.000000;-43.532417;20.402239;48.076218;4522.000000;378.000000
44;4522.789275;327.772402;4570.100000;300.000000;-47.310725;27.772402;54.859922;4532.000000;394.000000
45;4542.969443;315.314724;4585.700000;300.000000;-42.730557;15.314724;45.392084;4556.000000;371.000000
46;4546.713234;314.634793;4601.300000;300.000000;-54.586766;14.634793;56.514531;4560.000000;370.000000
47;4564.351383;325.099268;4616.900000;300.000000;-52.548617;25.099268;58.235130;4575.000000;393.000000
48;4566.762709;302.139305;4632.500000;300.000000;-65.737291;2.139305;65.772092;4584.000000;346.000000
49;4588.485513;289.086098;4648.100000;300.000000;-59.614487;-10.913902;60.605283;4610.000000;320.000000
50;4619.364560;293.461973;4663.600000;300.000000;-44.235440;-6.538027;44.715992;4640.000000;333.000000
51;4643.840979;286.343445;4679.200000;300.000000;-35.359021;-13.656555;37.904642;4667.000000;320.000000
52;4587.960021;271.600994;4694.800000;300.000000;-106.839979;-28.399006;110.549919;4615.000000;280.000000
53;4618.171474;286.266162;4710.400000;300.000000;-92.228526;-13.733838;93.245479;4641.000000;317.000000
54;4660.451612;295.559268;4726.000000;300.000000;-65.548388;-4.440732;65.698640;4681.000000;342.000000
55;4722.484056;304.698177;4741.600000;300.000000;-19.115944;4.698177;19.684821;4741.000000;368.000000
56;4722.611637;308.551092;4757.100000;300.000000;-34.488363;8.551092;35.532638;4740.000000;376.000000
57;4703.010509;267.324497;4772.700000;300.000000;-69.689491;-32.675503;76.969563;4733.000000;283.000000
58;4742.481281;282.384496;4788.300000;300.000000;-45.818719;-17.615504;49.088298;4768.000000;322.000000
59;4752.508417;285.944176;4803.900000;300.000000;-51.391583;-14.055824;53.279086;4777.000000;331.000000
60;4806.386204;296.669531;4819.500000;300.000000;-13.113796;-3.330469;13.530103;4828.000000;360.000000
61;4807.365748;306.668454;4835.100000;300.000000;-27.734252;6.668454;28.524674;4826.000000;381.000000
62;4850.476068;307.889557;4850.600000;300.000000;-0.123932;7.889557;7.890530;4869.000000;388.000000
63;4807.091268;276.563524;4866.200000;300.000000;-59.108732;-23.436476;63.585459;4835.000000;316.000000
64;4850.865422;289.321278;4881.800000;300.000000;-30.934578;-10.678722;32.725880;4875.000000;349.000000
65;4861.081725;286.973827;4897.400000;300.000000;-36.318275;-13.026173;38.583653;4886.000000;345.000000
66;4830.873125;308.887961;4913.000000;300.000000;-82.126875;8.887961;82.606413;4849.000000;388.000000
67;4848.233553;307.026400;4928.600000;300.000000;-80.366447;7.026400;80.673019;4867.000000;386.000000
68;4841.104986;316.793379;4944.200000;300.000000;-103.095014;16.793379;104.453815;4857.000000;405.000000
69;4843.331942;307.275631;4959.700000;300.000000;-116.368058;7.275631;116.595281;4862.000000;386.000000
70;4925.414121;315.464115;4975.300000;300.000000;-49.885879;15.464115;52.227768;4942.000000;411.000000
71;4946.408393;326.128548;4990.900000;300.000000;-44.491607;26.128548;51.596551;4960.000000;434.000000
72;4971.413675;344.503526;5006.500000;300.000000;-35.086325;44.503526;56.671104;4980.000000;471.000000
73;4946.265384;325.617236;5022.100000;300.000000;-75.834616;25.617236;80.044561;4960.000000;433.000000
74;4970.428167;344.556404;5037.700000;300.000000;-67.271833;44.556404;80.689359;4979.000000;471.000000
75;5008.234427;329.152695;5053.200000;300.000000;-44.965573;29.152695;53.589014;5021.000000;446.000000
76;4992.147211;325.293309;5068.800000;300.000000;-76.652789;25.293309;80.718037;5006.000000;437.000000
77;4959.167622;318.272219;5084.400000;300.000000;-125.232378;18.272219;126.558376;4975.000000;420.000000
78;5003.929877;338.965157;5100.000000;300.000000;-96.070123;38.965157;103.671365;5014.000000;464.000000
79;5009.748020;323.853944;5115.600000;300.000000;-105.851980;23.853944;108.506462;5024.000000;436.000000
80;5005.270381;308.370825;5131.200000;300.000000;-125.929619;8.370825;126.207526;5024.000000;405.000000
81;5017.415823;276.587837;5146.800000;300.000000;-129.384177;-23.412163;131.485340;5046.000000;339.000000
82;5051.325039;305.034214;5162.300000;300.000000;-110.974961;5.034214;111.089087;5071.000000;403.000000
83;5055.791009;299.918226;5177.900000;300.000000;-122.108991;-0.081774;122.109019;5077.000000;393.000000
84;5087.245854;272.751378;5193.500000;300.000000;-106.254146;-27.248622;109.692438;5117.000000;338.000000
85;5079.684887;250.780112;5209.100000;300.000000;-129.415113;-49.219888;138.458906;5117.000000;286.000000
86;5117.330764;288.233942;5224.700000;300.000000;-107.369236;-11.766058;108.012004;5142.000000;375.000000
87;5117.330764;288.233942;5240.300000;300.000000;-122.969236;-11.766058;123.530859;5142.000000;375.000000
88;5146.091635;284.002558;5255.800000;300.000000;-109.708365;-15.997442;110.868586;5172.000000;369.000000
89;5156.902018;289.569492;5271.400000;300.000000;-114.497982;-10.430508;114.972098;5181.000000;382.000000
90;5177.929482;319.214046;5287.000000;300.000000;-109.070518;19.214046;110.749978;5193.000000;444.000000
91;5180.250567;323.779618;5302.600000;300.000000;-122.349433;23.779618;124.638894;5194.000000;453.000000
92;5197.357131;290.401125;5318.200000;300.000000;-120.842869;-9.598875;121.223502;5221.000000;388.000000
93;5212.898628;279.323464;5333.800000;300.000000;-120.901372;-20.676536;122.656679;5240.000000;366.000000
94;5222.552488;300.264987;5349.400000;300.000000;-126.847512;0.264987;126.847789;5243.000000;411.000000
95;5281.035753;334.969600;5364.900000;300.000000;-83.864247;34.969600;90.863000;5291.000000;484.000000
96;5263.026919;297.719796;5380.500000;300.000000;-117.473081;-2.280204;117.495208;5284.000000;410.000000
97;5237.249412;279.972796;5396.100000;300.000000;-158.850588;-20.027204;160.108083;5264.000000;370.000000
98;5266.362556;276.701082;5411.700000;300.000000;-145.337444;-23.298918;147.193112;5294.000000;366.000000
99;5283.397550;322.023721;5427.300000;300.000000;-143.902450;22.023721;145.578018;5297.000000;460.000000
100;5282.609636;299.179592;5442.900000;300.000000;-160.290364;-0.820408;160.292463;5303.000000;415.000000
101;5364.297016;329.965008;5458.400000;300.000000;-94.102984;29.965008;98.758662;5375.000000;483.000000
102;5362.767474;284.994768;5474.000000;300.000000;-111.232526;-15.005232;112.240063;5387.000000;394.000000
103;5392.254674;305.023213;5489.600000;300.000000;-97.345326;5.023213;97.474844;5410.000000;438.000000
104;5372.689590;284.499911;5505.200000;300.000000;-132.510410;-15.500089;133.413873;5397.000000;394.000000
105;5380.980126;294.673370;5520.800000;300.000000;-139.819874;-5.326630;139.921300;5402.000000;416.000000
106;5428.484716;335.758524;5536.400000;300.000000;-107.915284;35.758524;113.685445;5437.000000;500.000000
107;5418.340372;324.932590;5551.900000;300.000000;-133.559628;24.932590;135.866877;5430.000000;479.000000
108;5350.995569;270.746250;5567.500000;300.000000;-216.504431;-29.253750;218.471853;5380.000000;362.000000
109;5459.858398;318.489464;5583.100000;300.000000;-123.241602;18.489464;124.620836;5473.000000;471.000000
110;5474.624557;290.901622;5598.700000;300.000000;-124.075443;-9.098378;124.408585;5496.000000;418.000000
111;5470.732182;275.882298;5614.300000;300.000000;-143.567818;-24.117702;145.579470;5497.000000;386.000000
112;5272.533880;219.315135;5629.900000;300.000000;-357.366120;-80.684865;366.361286;5321.000000;228.000000
113;5749.931987;404.271314;5645.500000;300.000000;104.431987;104.271314;147.575563;5738.000000;645.000000
114;5628.149807;294.372924;5661.000000;300.000000;-32.850193;-5.627076;33.328654;5647.000000;441.000000
115;5634.734600;326.225246;5676.600000;300.000000;-41.865400;26.225246;49.401166;5644.000000;503.000000
116;5587.425011;296.468371;5692.200000;300.000000;-104.774989;-3.531629;104.834492;5606.000000;441.000000
117;5620.960691;320.508736;5707.800000;300.000000;-86.839309;20.508736;89.228212;5632.000000;491.000000
118;5510.738170;257.249400;5723.400000;300.000000;-212.661830;-42.750600;216.916269;5543.000000;349.000000
119;5495.771822;238.485692;5739.000000;300.000000;-243.228178;-61.514308;250.886342;5535.000000;303.000000
120;5644.834473;302.559559;5754.500000;300.000000;-109.665527;2.559559;109.695393;5661.000000;459.000000
121;5557.021928;227.262153;5770.100000;300.000000;-213.078072;-72.737847;225.151192;5600.000000;282.000000
122;5545.391736;252.552464;5785.700000;300.000000;-240.308264;-47.447536;244.947608;5579.000000;342.000000
123;5592.031138;250.337671;5801.300000;300.000000;-209.268862;-49.662329;215.080923;5626.000000;342.000000
124;5986.693087;497.188516;5816.900000;300.000000;169.793087;197.188516;260.217223;5954.000000;797.000000
125;5811.088482;378.355521;5832.500000;300.000000;-21.411518;78.355521;81.228325;5805.000000;610.000000
126;5786.259271;337.807471;5848.100000;300.000000;-61.840729;37.807471;72.482278;5791.000000;539.000000
127;5624.706945;251.372776;5863.600000;300.000000;-238.893055;-48.627224;243.791917;5658.000000;348.000000
128;5665.324387;238.447882;5879.200000;300.000000;-213.875613;-61.552118;222.556602;5703.000000;322.000000
129;6002.767207;462.198156;5894.800000;300.000000;107.967207;162.198156;194.846503;5977.000000;752.000000
130;6052.237498;544.704871;5910.400000;300.000000;141.837498;244.704871;282.839795;6011.000000;862.000000
131;5609.352800;226.861867;5926.000000;300.000000;-316.647200;-73.138133;324.984055;5652.000000;287.000000
132;5672.265343;238.124787;5941.600000;300.000000;-269.334657;-61.875213;276.350682;5710.000000;322.000000
133;5721.865159;241.230563;5957.100000;300.000000;-235.234841;-58.769437;242.465001;5758.000000;335.000000
134;5816.702547;272.700256;5972.700000;300.000000;-155.997453;-27.299744;158.368183;5841.000000;416.000000
135;5880.813363;326.988932;5988.300000;300.000000;-107.486637;26.988932;110.823191;5888.000000;529.000000
136;5826.795160;288.102115;6003.900000;300.000000;-177.104840;-11.897885;177.504040;5846.000000;449.000000
137;6048.807343;425.111794;6019.500000;300.000000;29.307343;125.111794;128.498566;6031.000000;704.000000
138;6065.818092;472.755723;6035.100000;300.000000;30.718092;172.755723;175.465498;6038.000000;772.000000
139;5831.724128;255.018337;6050.600000;300.000000;-218.875872;-44.981663;223.450212;5862.000000;379.000000
140;5870.371979;311.890938;6066.200000;300.000000;-195.828021;11.890938;196.188706;5882.000000;500.000000
141;5906.618876;292.424003;6081.800000;300.000000;-175.181124;-7.575997;175.344865;5924.000000;466.000000
142;5920.556799;295.226375;6097.400000;300.000000;-176.843201;-4.773625;176.907618;5937.000000;473.000000
143;5865.189924;288.590594;6113.000000;300.000000;-247.810076;-11.409406;248.072587;5884.000000;454.000000
144;5871.814003;260.249234;6128.600000;300.000000;-256.785997;-39.750766;259.844515;5900.000000;395.000000
145;5859.896625;246.633223;6144.200000;300.000000;-284.303375;-53.366777;289.268771;5893.000000;363.000000
146;5853.713632;212.763571;6159.700000;300.000000;-305.986368;-87.236429;318.178962;5900.000000;279.000000
147;6165.866707;460.787448;6175.300000;300.000000;-9.433293;160.787448;161.063933;6141.000000;765.000000
148;6180.050975;429.068617;6190.900000;300.000000;-10.849025;129.068617;129.523779;6162.000000;722.000000
149;6213.394376;436.696885;6206.500000;300.000000;6.894376;136.696885;136.870636;6194.000000;736.000000
150;6219.929512;434.853443;6222.100000;300.000000;-2.170488;134.853443;134.870909;6201.000000;734.000000
151;6206.010259;390.479288;6237.700000;300.000000;-31.689741;90.479288;95.868353;6197.000000;667.000000
152;6228.760321;398.843324;6253.200000;300.000000;-24.439679;98.843324;101.819942;6218.000000;682.000000
153;6256.319290;373.368678;6268.800000;300.000000;-12.480710;73.368678;74.422651;6252.000000;645.000000
154;6238.806776;391.020645;6284.400000;300.000000;-45.593224;91.020645;101.801276;6230.000000;671.000000
155;7200.277636;1540.280037;6300.000000;300.000000;900.277636;1240.280037;1532.577695;7195.000000;1794.000000
156;6260.836214;400.771631;6300.000000;300.000000;-39.163786;100.771631;108.114401;6250.000000;688.000000
157;5843.280027;166.285002;6312.100000;300.100000;-468.819973;-133.814998;487.543455;5911.000000;142.000000
158;5884.990332;167.073648;6324.200000;300.200000;-439.209668;-133.126352;458.941999;5952.000000;150.000000
159;5951.565631;169.375524;6336.400000;300.600000;-384.834369;-131.224476;406.592369;6017.000000;166.000000
160;5889.402754;167.824855;6348.500000;301.000000;-459.097246;-133.175145;478.022908;5956.000000;153.000000
161;6177.509216;264.348976;6360.600000;301.500000;-183.090784;-37.151024;186.821930;6204.000000;437.000000
162;6320.129564;360.215815;6372.700000;302.200000;-52.570436;58.015815;78.291031;6320.000000;630.000000
163;6380.119941;415.275759;6384.800000;303.000000;-4.680059;112.275759;112.373258;6368.000000;721.000000
164;6382.610097;378.803971;6396.900000;303.900000;-14.289903;74.903971;76.254876;6379.000000;666.000000
165;6392.176309;398.995119;6408.900000;305.000000;-16.723691;93.995119;95.471274;6384.000000;698.000000
166;6376.965951;379.794609;6421.000000;306.100000;-44.034049;73.694609;85.848080;6373.000000;667.000000
167;6337.432037;339.518809;6433.100000;307.400000;-95.667963;32.118809;100.915693;6343.000000;597.000000
168;6330.008505;330.169588;6445.100000;308.800000;-115.091495;21.369588;117.058582;6338.000000;580.000000
169;6353.429402;308.346327;6457.100000;310.300000;-103.670598;-1.953673;103.689005;6368.000000;543.000000
170;6372.829435;350.994630;6469.100000;312.000000;-96.270565;38.994630;103.868200;6376.000000;620.000000
171;6362.636988;316.542576;6481.100000;313.700000;-118.463012;2.842576;118.497111;6375.000000;559.000000
172;6331.718656;304.734323;6493.100000;315.600000;-161.381344;-10.865677;161.746719;6347.000000;534.000000
173;6307.700308;271.463991;6505.100000;317.700000;-197.399692;-46.236009;202.742218;6333.000000;466.000000
174;6345.586565;254.870887;6517.000000;319.800000;-171.413435;-64.929113;183.298542;6377.000000;435.000000
175;6252.918955;244.169661;6528.900000;322.000000;-275.981045;-77.830339;286.745704;6287.000000;401.000000
176;6301.527170;252.973735;6540.800000;324.400000;-239.272830;-71.426265;249.706225;6333.000000;426.000000
177;6351.535659;275.992123;6552.700000;326.900000;-201.164341;-50.907877;207.505913;6376.000000;480.000000
178;6345.713627;267.075266;6564.500000;329.500000;-218.786373;-62.424734;227.517745;6373.000000;461.000000
179;6309.006972;202.189271;6576.300000;332.200000;-267.293028;-130.010729;297.234507;6360.000000;305.000000
180;6234.133228;170.263179;6588.100000;335.100000;-353.966772;-164.836821;390.465944;6299.000000;205.000000
181;6371.221193;224.705684;6599.800000;338.100000;-228.578807;-113.394316;255.159836;6414.000000;369.000000
182;6350.801034;212.675656;6611.600000;341.200000;-260.798966;-128.524344;290.748358;6398.000000;337.000000
