Epoch;TrainMSE;TestMSE
1;0.0561047855732221;0.07971649176693626
2;0.044936711247962544;0.06635876105670017
3;0.036009784103265684;0.05559125262115564
4;0.03199581775253353;0.05118485726143323
5;0.030014555786645376;0.04895178802859972
6;0.02870430963330816;0.04735301527377901
7;0.027846277075849753;0.04651459109972041
8;0.027280345585784554;0.046998988072701704
9;0.027321573485917208;0.04742032107249645
10;0.027430014347300594;0.047823928333929684
11;0.02765070245438429;0.048361984670746795
12;0.0277174569193423;0.04845149639903142
13;0.027629308844348503;0.048345515769579614
14;0.0274886261776261;0.04819439734916567
15;0.027405811366112715;0.04816149205124151
16;0.027494164899350894;0.04832054696514557
17;0.027550652940245026;0.04826900580537434
