Epoch;TrainMSE;TestMSE
1;0.032653710190064536;0.039876464605384326
2;0.025648546466401946;0.034500611667991114
3;0.024986190178172007;0.0347099373609678
4;0.027004877985312616;0.03700354605779579
5;0.029307180352994393;0.03949706500344633
6;0.030869469704225945;0.041272485684190965
7;0.03149116256181568;0.04213524482668475
8;0.03137959873511773;0.04230919217786136
9;0.030859988346927433;0.042118039158886414
10;0.03022625563621707;0.04182134431999734
11;0.02967339777864948;0.04156774491162961
12;0.02928057026626973;0.041403145287085885
