Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4120.467951;391.054479;3900.000000;300.000000;220.467951;91.054479;238.530995;4033.000000;498.000000
2;4229.849854;368.412804;3915.600000;300.000000;314.249854;68.412804;321.610451;4143.000000;490.000000
3;4190.936210;382.058582;3931.200000;300.000000;259.736210;82.058582;272.390363;4104.000000;499.000000
4;4194.409735;360.674989;3946.800000;300.000000;247.609735;60.674989;254.935355;4107.000000;476.000000
5;4268.741651;355.678532;3962.300000;300.000000;306.441651;55.678532;311.458800;4182.000000;482.000000
6;4241.136654;351.381974;3977.900000;300.000000;263.236654;51.381974;268.204481;4154.000000;473.000000
7;4210.405219;395.675148;3993.500000;300.000000;216.905219;95.675148;237.068784;4124.000000;517.000000
8;4201.488579;354.228997;4009.100000;300.000000;192.388579;54.228997;199.885341;4114.000000;470.000000
9;4193.742465;388.932131;4024.700000;300.000000;169.042465;88.932131;191.008583;4107.000000;507.000000
10;4245.215409;346.266263;4040.300000;300.000000;204.915409;46.266263;210.073539;4158.000000;468.000000
11;4218.490058;262.806904;4055.800000;300.000000;162.690058;-37.193096;166.887331;4129.000000;372.000000
12;4235.881733;196.767753;4071.400000;300.000000;164.481733;-103.232247;194.193556;4145.000000;302.000000
13;4248.465538;208.626481;4087.000000;300.000000;161.465538;-91.373519;185.526925;4158.000000;317.000000
14;4277.235810;205.491307;4102.600000;300.000000;174.635810;-94.508693;198.568777;4187.000000;318.000000
15;4263.188264;255.616085;4118.200000;300.000000;144.988264;-44.383915;151.629576;4174.000000;371.000000
16;4276.850929;263.689198;4133.800000;300.000000;143.050929;-36.310802;147.587407;4188.000000;382.000000
17;4280.884045;218.605898;4149.400000;300.000000;131.484045;-81.394102;154.638462;4191.000000;333.000000
18;4313.840750;205.797485;4164.900000;300.000000;148.940750;-94.202515;176.231271;4224.000000;324.000000
19;4339.912056;191.231141;4180.500000;300.000000;159.412056;-108.768859;192.984114;4250.000000;312.000000
20;4344.319293;256.023304;4196.100000;300.000000;148.219293;-43.976696;154.605655;4256.000000;384.000000
21;4373.584458;231.923220;4211.700000;300.000000;161.884458;-68.076780;175.616132;4285.000000;362.000000
22;4424.912253;279.218816;4227.300000;300.000000;197.612253;-20.781184;198.701938;4338.000000;422.000000
23;4414.160669;231.671123;4242.900000;300.000000;171.260669;-68.328877;184.388319;4326.000000;368.000000
24;4403.193792;193.238672;4258.400000;300.000000;144.793792;-106.761328;179.897814;4314.000000;324.000000
25;4410.490911;219.467946;4274.000000;300.000000;136.490911;-80.532054;158.477697;4322.000000;354.000000
26;4433.328295;258.048863;4289.600000;300.000000;143.728295;-41.951137;149.725484;4346.000000;400.000000
27;4408.895246;245.130255;4305.200000;300.000000;103.695246;-54.869745;117.317487;4321.000000;382.000000
28;4453.722588;232.470123;4320.800000;300.000000;132.922588;-67.529877;149.092919;4366.000000;375.000000
29;4518.796352;242.402394;4336.400000;300.000000;182.396352;-57.597606;191.274445;4432.000000;396.000000
30;4498.205502;234.394454;4351.900000;300.000000;146.305502;-65.605546;160.341471;4411.000000;384.000000
31;4508.244048;270.231887;4367.500000;300.000000;140.744048;-29.768113;143.857664;4422.000000;425.000000
32;4521.990146;232.868653;4383.100000;300.000000;138.890146;-67.131347;154.263056;4435.000000;386.000000
33;4527.817689;237.500508;4398.700000;300.000000;129.117689;-62.499492;143.448820;4441.000000;392.000000
34;4586.692577;174.715783;4414.300000;300.000000;172.392577;-125.284217;213.108742;4499.000000;332.000000
35;4535.222291;259.172159;4429.900000;300.000000;105.322291;-40.827841;112.958831;4449.000000;417.000000
36;4553.633769;275.662742;4445.500000;300.000000;108.133769;-24.337258;110.838685;4468.000000;438.000000
37;4573.360922;278.341145;4461.000000;300.000000;112.360922;-21.658855;114.429379;4488.000000;444.000000
38;4556.386347;452.432656;4476.600000;300.000000;79.786347;152.432656;172.051085;4475.000000;633.000000
39;4569.365341;238.020325;4492.200000;300.000000;77.165341;-61.979675;98.974592;4483.000000;399.000000
40;4568.563683;188.165671;4507.800000;300.000000;60.763683;-111.834329;127.275851;4481.000000;344.000000
41;4613.353296;260.909660;4523.400000;300.000000;89.953296;-39.090340;98.079815;4528.000000;431.000000
42;4592.827079;250.167295;4539.000000;300.000000;53.827079;-49.832705;73.352933;4507.000000;416.000000
43;4608.537257;213.436292;4554.500000;300.000000;54.037257;-86.563708;102.045582;4522.000000;378.000000
44;4618.120973;226.625300;4570.100000;300.000000;48.020973;-73.374700;87.691849;4532.000000;394.000000
45;4642.443491;202.311298;4585.700000;300.000000;56.743491;-97.688702;112.973033;4556.000000;371.000000
46;4646.436350;200.841518;4601.300000;300.000000;45.136350;-99.158482;108.948128;4560.000000;370.000000
47;4660.833382;219.713387;4616.900000;300.000000;43.933382;-80.286613;91.520939;4575.000000;393.000000
48;4670.780132;175.616011;4632.500000;300.000000;38.280132;-124.383989;130.141251;4584.000000;346.000000
49;4697.153145;148.288401;4648.100000;300.000000;49.053145;-151.711599;159.444725;4610.000000;320.000000
50;4726.657848;155.951891;4663.600000;300.000000;63.057848;-144.048109;157.245509;4640.000000;333.000000
51;4753.743576;140.334634;4679.200000;300.000000;74.543576;-159.665366;176.209460;4667.000000;320.000000
52;4702.978160;111.129840;4694.800000;300.000000;8.178160;-188.870160;189.047136;4615.000000;280.000000
53;4727.994981;141.228113;4710.400000;300.000000;17.594981;-158.771887;159.743843;4641.000000;317.000000
54;4767.169491;158.434403;4726.000000;300.000000;41.169491;-141.565597;147.430476;4681.000000;342.000000
55;4826.178768;173.761476;4741.600000;300.000000;84.578768;-126.238524;151.953062;4741.000000;368.000000
56;4825.013687;181.193206;4757.100000;300.000000;67.913687;-118.806794;136.847810;4740.000000;376.000000
57;4820.065789;97.398458;4772.700000;300.000000;47.365789;-202.601542;208.064661;4733.000000;283.000000
58;4853.974876;128.063880;4788.300000;300.000000;65.674876;-171.936120;184.052217;4768.000000;322.000000
59;4862.716352;135.011847;4803.900000;300.000000;58.816352;-164.988153;175.158368;4777.000000;331.000000
