Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4248.200847;329.298203;3900.000000;300.000000;348.200847;29.298203;349.431273;4033.000000;498.000000
2;4355.287790;319.290128;3915.600000;300.000000;439.687790;19.290128;440.110738;4143.000000;490.000000
3;4318.844076;326.185402;3931.200000;300.000000;387.644076;26.185402;388.527482;4104.000000;499.000000
4;4316.383611;313.712378;3946.800000;300.000000;369.583611;13.712378;369.837903;4107.000000;476.000000
5;4391.866864;313.040489;3962.300000;300.000000;429.566864;13.040489;429.764755;4182.000000;482.000000
6;4362.098572;309.777095;3977.900000;300.000000;384.198572;9.777095;384.322956;4154.000000;473.000000
7;4342.887706;335.171777;3993.500000;300.000000;349.387706;35.171777;351.153560;4124.000000;517.000000
8;4321.883321;310.242000;4009.100000;300.000000;312.783321;10.242000;312.950961;4114.000000;470.000000
9;4323.698622;330.449511;4024.700000;300.000000;298.998622;30.449511;300.545086;4107.000000;507.000000
10;4364.850242;307.003751;4040.300000;300.000000;324.550242;7.003751;324.625803;4158.000000;468.000000
11;4313.264757;263.910233;4055.800000;300.000000;257.464757;-36.089767;259.981870;4129.000000;372.000000
12;4312.062725;236.325811;4071.400000;300.000000;240.662725;-63.674189;248.943667;4145.000000;302.000000
13;4328.441535;241.165482;4087.000000;300.000000;241.441535;-58.834518;248.506570;4158.000000;317.000000
14;4357.086365;240.300568;4102.600000;300.000000;254.486365;-59.699432;261.394974;4187.000000;318.000000
15;4357.233653;261.473573;4118.200000;300.000000;239.033653;-38.526427;242.118510;4174.000000;371.000000
16;4373.641506;265.439825;4133.800000;300.000000;239.841506;-34.560175;242.318703;4188.000000;382.000000
17;4364.661983;245.697127;4149.400000;300.000000;215.261983;-54.302873;222.005683;4191.000000;333.000000
18;4394.747670;240.916806;4164.900000;300.000000;229.847670;-59.083194;237.319985;4224.000000;324.000000
19;4417.192913;235.454612;4180.500000;300.000000;236.692913;-64.545388;245.335774;4250.000000;312.000000
20;4440.765635;263.160691;4196.100000;300.000000;244.665635;-36.839309;247.423539;4256.000000;384.000000
21;4463.696436;252.807057;4211.700000;300.000000;251.996436;-47.192943;256.377413;4285.000000;362.000000
22;4530.264345;275.904393;4227.300000;300.000000;302.964345;-24.095607;303.921030;4338.000000;422.000000
23;4505.178936;253.350078;4242.900000;300.000000;262.278936;-46.649922;266.395300;4326.000000;368.000000
24;4482.557622;237.021921;4258.400000;300.000000;224.157622;-62.978079;232.836591;4314.000000;324.000000
25;4497.804673;247.979774;4274.000000;300.000000;223.804673;-52.020226;229.770833;4322.000000;354.000000
26;4532.616289;265.774290;4289.600000;300.000000;243.016289;-34.225710;245.414579;4346.000000;400.000000
27;4503.774512;259.313877;4305.200000;300.000000;198.574512;-40.686123;202.699772;4321.000000;382.000000
28;4545.875338;254.346263;4320.800000;300.000000;225.075338;-45.653737;229.658815;4366.000000;375.000000
29;4615.266227;259.972639;4336.400000;300.000000;278.866227;-40.027361;281.724266;4432.000000;396.000000
30;4591.869965;255.943155;4351.900000;300.000000;239.969965;-44.056845;243.980716;4411.000000;384.000000
31;4612.820543;273.155454;4367.500000;300.000000;245.320543;-26.844546;246.784924;4422.000000;425.000000
32;4615.665306;255.641785;4383.100000;300.000000;232.565306;-44.358215;236.757835;4435.000000;386.000000
33;4622.992374;257.858426;4398.700000;300.000000;224.292374;-42.141574;228.216961;4441.000000;392.000000
34;4663.942122;231.763290;4414.300000;300.000000;249.642122;-68.236710;258.799995;4499.000000;332.000000
35;4637.032984;268.251072;4429.900000;300.000000;207.132984;-31.748928;209.552064;4449.000000;417.000000
36;4660.736011;276.819781;4445.500000;300.000000;215.236011;-23.180219;216.480629;4468.000000;438.000000
37;4681.630448;278.604706;4461.000000;300.000000;220.630448;-21.395294;221.665408;4488.000000;444.000000
38;4715.876379;387.007246;4476.600000;300.000000;239.276379;87.007246;254.604490;4475.000000;633.000000
39;4665.448455;258.804876;4492.200000;300.000000;173.248455;-41.195124;178.078818;4483.000000;399.000000
40;4649.602527;236.987531;4507.800000;300.000000;141.802527;-63.012469;155.172575;4481.000000;344.000000
41;4717.054555;270.618029;4523.400000;300.000000;193.654555;-29.381971;195.870842;4528.000000;431.000000
42;4692.961396;264.972979;4539.000000;300.000000;153.961396;-35.027021;157.895547;4507.000000;416.000000
43;4697.828000;248.280774;4554.500000;300.000000;143.328000;-51.719226;152.373862;4522.000000;378.000000
44;4711.541361;254.354583;4570.100000;300.000000;141.441361;-45.645417;148.624233;4532.000000;394.000000
45;4728.831646;243.899075;4585.700000;300.000000;143.131646;-56.100925;153.733476;4556.000000;371.000000
46;4732.429575;243.318337;4601.300000;300.000000;131.129575;-56.681663;142.855788;4560.000000;370.000000
47;4752.736675;251.877802;4616.900000;300.000000;135.836675;-48.122198;144.108807;4575.000000;393.000000
48;4749.387165;233.051601;4632.500000;300.000000;116.887165;-66.948399;134.702255;4584.000000;346.000000
49;4767.681629;222.555602;4648.100000;300.000000;119.581629;-77.444398;142.468946;4610.000000;320.000000
50;4799.782675;225.782666;4663.600000;300.000000;136.182675;-74.217334;155.093306;4640.000000;333.000000
51;4822.269407;220.013555;4679.200000;300.000000;143.069407;-79.986445;163.910606;4667.000000;320.000000
52;4762.174529;209.115791;4694.800000;300.000000;67.374529;-90.884209;113.133843;4615.000000;280.000000
53;4796.618313;220.141129;4710.400000;300.000000;86.218313;-79.858871;117.520367;4641.000000;317.000000
54;4841.332077;227.153622;4726.000000;300.000000;115.332077;-72.846378;136.411447;4681.000000;342.000000
55;4905.308959;234.043719;4741.600000;300.000000;163.708959;-65.956281;176.496046;4741.000000;368.000000
56;4906.425419;237.175934;4757.100000;300.000000;149.325419;-62.824066;162.002914;4740.000000;376.000000
57;4875.641020;204.979810;4772.700000;300.000000;102.941020;-95.020190;140.091720;4733.000000;283.000000
58;4919.073144;216.170994;4788.300000;300.000000;130.773144;-83.829006;155.334856;4768.000000;322.000000
59;4929.965080;218.869273;4803.900000;300.000000;126.065080;-81.130727;149.915307;4777.000000;331.000000
60;4985.895113;226.943403;4819.500000;300.000000;166.395113;-73.056597;181.726718;4828.000000;360.000000
61;4989.459072;235.018272;4835.100000;300.000000;154.359072;-64.981728;167.479396;4826.000000;381.000000
62;5031.982573;235.688682;4850.600000;300.000000;181.382573;-64.311318;192.446313;4869.000000;388.000000
63;4981.058199;211.136820;4866.200000;300.000000;114.858199;-88.863180;145.220766;4835.000000;316.000000
64;5027.489246;220.737583;4881.800000;300.000000;145.689246;-79.262417;165.855018;4875.000000;349.000000
65;5036.830377;218.799940;4897.400000;300.000000;139.430377;-81.200060;161.351417;4886.000000;345.000000
66;5013.064338;236.654915;4913.000000;300.000000;100.064338;-63.345085;118.429184;4849.000000;388.000000
67;5029.571247;234.999968;4928.600000;300.000000;100.971247;-65.000032;120.084124;4867.000000;386.000000
68;5025.053545;243.098688;4944.200000;300.000000;80.853545;-56.901312;98.868878;4857.000000;405.000000
69;5024.843763;235.241064;4959.700000;300.000000;65.143763;-64.758936;91.855482;4862.000000;386.000000
70;5106.817161;241.359616;4975.300000;300.000000;131.517161;-58.640384;143.998119;4942.000000;411.000000
71;5129.735774;250.134108;4990.900000;300.000000;138.835774;-49.865892;147.519421;4960.000000;434.000000
72;5158.151763;265.688687;5006.500000;300.000000;151.651763;-34.311313;155.484802;4980.000000;471.000000
73;5129.475686;249.703315;5022.100000;300.000000;107.375686;-50.296685;118.571896;4960.000000;433.000000
74;5157.213320;265.741750;5037.700000;300.000000;119.513320;-34.258250;124.326431;4979.000000;471.000000
75;5190.071811;252.232420;5053.200000;300.000000;136.871811;-47.767580;144.967701;5021.000000;446.000000
76;5173.680295;249.084120;5068.800000;300.000000;104.880295;-50.915880;116.586033;5006.000000;437.000000
77;5140.176640;243.439255;5084.400000;300.000000;55.776640;-56.560745;79.436462;4975.000000;420.000000
78;5188.210223;260.662832;5100.000000;300.000000;88.210223;-39.337168;96.583934;5014.000000;464.000000
79;5190.270702;247.735165;5115.600000;300.000000;74.670702;-52.264835;91.144538;5024.000000;436.000000
80;5182.174779;234.870545;5131.200000;300.000000;50.974779;-65.129455;82.705949;5024.000000;405.000000
81;5185.445458;209.323792;5146.800000;300.000000;38.645458;-90.676208;98.567977;5046.000000;339.000000
82;5225.537667;231.758483;5162.300000;300.000000;63.237667;-68.241517;93.037128;5071.000000;403.000000
83;5228.511955;227.546883;5177.900000;300.000000;50.611955;-72.453117;88.379999;5077.000000;393.000000
84;5251.295467;205.716411;5193.500000;300.000000;57.795467;-94.283589;110.588025;5117.000000;338.000000
85;5237.611668;189.173597;5209.100000;300.000000;28.511668;-110.826403;114.435164;5117.000000;286.000000
86;5284.207636;217.615537;5224.700000;300.000000;59.507636;-82.384463;101.628532;5142.000000;375.000000
87;5284.207636;217.615537;5240.300000;300.000000;43.907636;-82.384463;93.354594;5142.000000;375.000000
88;5310.418451;213.998356;5255.800000;300.000000;54.618451;-86.001644;101.879625;5172.000000;369.000000
89;5322.151718;218.338825;5271.400000;300.000000;50.751718;-81.661175;96.147202;5181.000000;382.000000
90;5349.476012;242.512033;5287.000000;300.000000;62.476012;-57.487967;84.900638;5193.000000;444.000000
91;5352.751877;246.346459;5302.600000;300.000000;50.151877;-53.653541;73.443266;5194.000000;453.000000
92;5360.648391;218.653507;5318.200000;300.000000;42.448391;-81.346493;91.755751;5221.000000;388.000000
93;5372.376214;209.703555;5333.800000;300.000000;38.576214;-90.296445;98.191508;5240.000000;366.000000
94;5386.933888;226.430334;5349.400000;300.000000;37.533888;-73.569666;82.591092;5243.000000;411.000000
95;5450.095109;255.125203;5364.900000;300.000000;85.195109;-44.874797;96.290986;5291.000000;484.000000
96;5424.334457;224.009389;5380.500000;300.000000;43.834457;-75.990611;87.727034;5284.000000;410.000000
97;5395.493718;209.995496;5396.100000;300.000000;-0.606282;-90.004504;90.006546;5264.000000;370.000000
98;5421.971882;207.154852;5411.700000;300.000000;10.271882;-92.845148;93.411633;5294.000000;366.000000
99;5449.326255;244.042734;5427.300000;300.000000;22.026255;-55.957266;60.136274;5297.000000;460.000000
100;5443.054838;225.034048;5442.900000;300.000000;0.154838;-74.965952;74.966112;5303.000000;415.000000
101;5526.547794;250.174599;5458.400000;300.000000;68.147794;-49.825401;84.419739;5375.000000;483.000000
102;5514.222261;212.862764;5474.000000;300.000000;40.222261;-87.137236;95.972539;5387.000000;394.000000
103;5546.616847;228.918209;5489.600000;300.000000;57.016847;-71.081791;91.123772;5410.000000;438.000000
104;5523.314195;212.378538;5505.200000;300.000000;18.114195;-87.621462;89.474268;5397.000000;394.000000
105;5533.608032;220.516085;5520.800000;300.000000;12.808032;-79.483915;80.509244;5402.000000;416.000000
106;5587.247902;254.671669;5536.400000;300.000000;50.847902;-45.328331;68.118769;5437.000000;500.000000
107;5575.442027;245.444752;5551.900000;300.000000;23.542027;-54.555248;59.418028;5430.000000;479.000000
108;5499.476069;201.713735;5567.500000;300.000000;-68.023931;-98.286265;119.530101;5380.000000;362.000000
109;5612.238403;239.639033;5583.100000;300.000000;29.138403;-60.360967;67.026061;5473.000000;471.000000
