Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4255.283289;415.889038;3900.000000;300.000000;355.283289;115.889038;373.706415;4033.000000;498.000000
2;4362.229686;404.468406;3915.600000;300.000000;446.629686;104.468406;458.684776;4143.000000;490.000000
3;4325.081426;410.739400;3931.200000;300.000000;393.881426;110.739400;409.152529;4104.000000;499.000000
4;4325.474605;402.441369;3946.800000;300.000000;378.674605;102.441369;392.286490;4107.000000;476.000000
5;4399.375774;398.597698;3962.300000;300.000000;437.075774;98.597698;448.058856;4182.000000;482.000000
6;4371.055049;397.733709;3977.900000;300.000000;393.155049;97.733709;405.120686;4154.000000;473.000000
7;4346.705822;415.855573;3993.500000;300.000000;353.205822;115.855573;371.721490;4124.000000;517.000000
8;4331.662135;399.873160;4009.100000;300.000000;322.562135;99.873160;337.669926;4114.000000;470.000000
9;4328.915781;413.431670;4024.700000;300.000000;304.215781;113.431670;324.675199;4107.000000;507.000000
10;4374.396326;395.744389;4040.300000;300.000000;334.096326;95.744389;347.544735;4158.000000;468.000000
11;4336.066065;370.365793;4055.800000;300.000000;280.266065;70.365793;288.964378;4129.000000;372.000000
12;4345.057970;353.839065;4071.400000;300.000000;273.657970;53.839065;278.903800;4145.000000;302.000000
13;4358.966332;355.731965;4087.000000;300.000000;271.966332;55.731965;277.617970;4158.000000;317.000000
14;4387.072834;353.586875;4102.600000;300.000000;284.472834;53.586875;289.475986;4187.000000;318.000000
15;4379.617083;366.518610;4118.200000;300.000000;261.417083;66.518610;269.747320;4174.000000;371.000000
16;4394.294753;368.148874;4133.800000;300.000000;260.494753;68.148874;269.261555;4188.000000;382.000000
17;4392.343184;356.397937;4149.400000;300.000000;242.943184;56.397937;249.403524;4191.000000;333.000000
18;4423.316847;351.810363;4164.900000;300.000000;258.416847;51.810363;263.559444;4224.000000;324.000000
19;4447.196593;347.237026;4180.500000;300.000000;266.696593;47.237026;270.847576;4250.000000;312.000000
