Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4089.183667;395.598881;3900.000000;300.000000;189.183667;95.598881;211.966049;4033.000000;498.000000
2;4199.348816;382.432152;3915.600000;300.000000;283.748816;82.432152;295.480034;4143.000000;490.000000
3;4161.809841;390.310299;3931.200000;300.000000;230.609841;90.310299;247.662772;4104.000000;499.000000
4;4159.332910;378.137813;3946.800000;300.000000;212.532910;78.137813;226.441506;4107.000000;476.000000
5;4237.057964;375.162754;3962.300000;300.000000;274.757964;75.162754;284.853258;4182.000000;482.000000
6;4206.406980;372.822422;3977.900000;300.000000;228.506980;72.822422;239.830242;4154.000000;473.000000
7;4186.502784;398.292076;3993.500000;300.000000;193.002784;98.292076;216.590412;4124.000000;517.000000
8;4165.005839;374.525902;4009.100000;300.000000;155.905839;74.525902;172.802606;4114.000000;470.000000
9;4166.783410;394.308999;4024.700000;300.000000;142.083410;94.308999;170.534110;4107.000000;507.000000
10;4209.252780;369.977433;4040.300000;300.000000;168.952780;69.977433;182.871220;4158.000000;468.000000
11;4156.300666;327.197118;4055.800000;300.000000;100.500666;27.197118;104.115643;4129.000000;372.000000
12;4155.196847;296.830107;4071.400000;300.000000;83.796847;-3.169893;83.856782;4145.000000;302.000000
13;4172.019466;301.818614;4087.000000;300.000000;85.019466;1.818614;85.038915;4158.000000;317.000000
14;4201.507833;299.994770;4102.600000;300.000000;98.907833;-0.005230;98.907833;4187.000000;318.000000
15;4201.573633;323.242236;4118.200000;300.000000;83.373633;23.242236;86.552667;4174.000000;371.000000
16;4218.460950;326.988285;4133.800000;300.000000;84.660950;26.988285;88.858562;4188.000000;382.000000
17;4209.282795;305.808070;4149.400000;300.000000;59.882795;5.808070;60.163800;4191.000000;333.000000
18;4240.290590;299.599754;4164.900000;300.000000;75.390590;-0.400246;75.391652;4224.000000;324.000000
19;4263.437072;292.797295;4180.500000;300.000000;82.937072;-7.202705;83.249245;4250.000000;312.000000
20;4287.659756;322.614814;4196.100000;300.000000;91.559756;22.614814;94.311286;4256.000000;384.000000
21;4311.337823;310.819503;4211.700000;300.000000;99.637823;10.819503;100.223538;4285.000000;362.000000
22;4380.027473;333.597257;4227.300000;300.000000;152.727473;33.597257;156.379208;4338.000000;422.000000
23;4354.149418;310.297097;4242.900000;300.000000;111.249418;10.297097;111.724944;4326.000000;368.000000
24;4330.822845;292.817355;4258.400000;300.000000;72.422845;-7.182645;72.778148;4314.000000;324.000000
25;4346.542813;304.623205;4274.000000;300.000000;72.542813;4.623205;72.689983;4322.000000;354.000000
26;4382.474648;322.899451;4289.600000;300.000000;92.874648;22.899451;95.656078;4346.000000;400.000000
27;4352.692613;316.772671;4305.200000;300.000000;47.492613;16.772671;50.367359;4321.000000;382.000000
28;4396.182628;310.323167;4320.800000;300.000000;75.382628;10.323167;76.086191;4366.000000;375.000000
29;4467.934991;314.654299;4336.400000;300.000000;131.534991;14.654299;132.348790;4432.000000;396.000000
30;4443.728190;310.900022;4351.900000;300.000000;91.828190;10.900022;92.472844;4411.000000;384.000000
31;4465.407105;328.628903;4367.500000;300.000000;97.907105;28.628903;102.006938;4422.000000;425.000000
32;4468.341913;310.000442;4383.100000;300.000000;85.241913;10.000442;85.826526;4435.000000;386.000000
33;4475.927320;312.207377;4398.700000;300.000000;77.227320;12.207377;78.186182;4441.000000;392.000000
34;4518.199549;282.544334;4414.300000;300.000000;103.899549;-17.455666;105.355667;4499.000000;332.000000
35;4490.471770;322.905552;4429.900000;300.000000;60.571770;22.905552;64.758039;4449.000000;417.000000
36;4515.021703;331.289372;4445.500000;300.000000;69.521703;31.289372;76.238389;4468.000000;438.000000
37;4536.672937;332.649143;4461.000000;300.000000;75.672937;32.649143;82.415775;4488.000000;444.000000
38;4571.344007;437.508089;4476.600000;300.000000;94.744007;137.508089;166.987728;4475.000000;633.000000
39;4519.882213;312.229656;4492.200000;300.000000;27.682213;12.229656;30.263335;4483.000000;399.000000
40;4503.393326;288.743682;4507.800000;300.000000;-4.406674;-11.256318;12.088154;4481.000000;344.000000
41;4573.392428;323.549431;4523.400000;300.000000;49.992428;23.549431;55.261366;4528.000000;431.000000
