Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;3597.364477;712.199705;3900.000000;300.000000;-302.635523;412.199705;511.367633;4033.000000;498.000000
2;3711.205801;703.917297;3915.600000;300.000000;-204.394199;403.917297;452.687719;4143.000000;490.000000
3;3671.899821;709.993787;3931.200000;300.000000;-259.300179;409.993787;485.109769;4104.000000;499.000000
4;3671.101405;698.162053;3946.800000;300.000000;-275.698595;398.162053;484.296124;4107.000000;476.000000
5;3750.682926;698.350363;3962.300000;300.000000;-211.617074;398.350363;451.070724;4182.000000;482.000000
6;3719.814381;694.836166;3977.900000;300.000000;-258.085619;394.836166;471.703068;4154.000000;473.000000
7;3695.931653;718.398684;3993.500000;300.000000;-297.568347;418.398684;513.424172;4124.000000;517.000000
8;3677.404977;694.837645;4009.100000;300.000000;-331.695023;394.837645;515.672720;4114.000000;470.000000
9;3676.412856;713.954492;4024.700000;300.000000;-348.287144;413.954492;540.982677;4107.000000;507.000000
10;3723.147036;692.135946;4040.300000;300.000000;-317.152964;392.135946;504.337786;4158.000000;468.000000
11;3676.325468;644.339483;4055.800000;300.000000;-379.474532;344.339483;512.416432;4129.000000;372.000000
12;3681.090553;608.067006;4071.400000;300.000000;-390.309447;308.067006;497.239122;4145.000000;302.000000
13;3697.276176;615.211325;4087.000000;300.000000;-389.723824;315.211325;501.241298;4158.000000;317.000000
14;3727.821621;614.611728;4102.600000;300.000000;-374.778379;314.611728;489.325427;4187.000000;318.000000
15;3723.286285;642.108975;4118.200000;300.000000;-394.913715;342.108975;522.489610;4174.000000;371.000000
16;3739.834166;647.177354;4133.800000;300.000000;-393.965834;347.177354;525.110649;4188.000000;382.000000
17;3734.581060;622.100313;4149.400000;300.000000;-414.818940;322.100313;525.188885;4191.000000;333.000000
18;3767.602916;616.253271;4164.900000;300.000000;-397.297084;316.253271;507.800260;4224.000000;324.000000
19;3792.778825;609.145559;4180.500000;300.000000;-387.721175;309.145559;495.881726;4250.000000;312.000000
20;3811.398593;645.595531;4196.100000;300.000000;-384.701407;345.595531;517.137741;4256.000000;384.000000
21;3838.003560;633.278924;4211.700000;300.000000;-373.696440;333.278924;500.723347;4285.000000;362.000000
22;3903.794705;661.818116;4227.300000;300.000000;-323.505295;361.818116;485.353505;4338.000000;422.000000
23;3881.974012;634.767470;4242.900000;300.000000;-360.925988;334.767470;492.277186;4326.000000;368.000000
24;3861.867099;612.811273;4258.400000;300.000000;-396.532901;312.811273;505.063594;4314.000000;324.000000
25;3875.385977;627.788257;4274.000000;300.000000;-398.614023;327.788257;516.079723;4322.000000;354.000000
26;3908.404463;650.304484;4289.600000;300.000000;-381.195537;350.304484;517.709638;4346.000000;400.000000
27;3879.135862;642.090856;4305.200000;300.000000;-426.064138;342.090856;546.403517;4321.000000;382.000000
28;3925.068773;636.803660;4320.800000;300.000000;-395.731227;336.803660;519.653643;4366.000000;375.000000
29;3997.793873;644.977814;4336.400000;300.000000;-338.606127;344.977814;483.387838;4432.000000;396.000000
30;3973.742853;639.667507;4351.900000;300.000000;-378.157147;339.667507;508.307824;4411.000000;384.000000
31;3992.288458;660.133771;4367.500000;300.000000;-375.211542;360.133771;520.076950;4422.000000;425.000000
32;3999.222413;639.768642;4383.100000;300.000000;-383.877587;339.768642;512.644840;4435.000000;386.000000
33;4006.534961;642.595789;4398.700000;300.000000;-392.165039;342.595789;520.735339;4441.000000;392.000000
34;4057.003207;609.811439;4414.300000;300.000000;-357.296793;309.811439;472.910273;4499.000000;332.000000
35;4019.197337;655.025641;4429.900000;300.000000;-410.702663;355.025641;542.881095;4449.000000;417.000000
36;4042.695508;664.997200;4445.500000;300.000000;-402.804492;364.997200;543.575583;4468.000000;438.000000
37;4064.670751;667.288999;4461.000000;300.000000;-396.329249;367.288999;540.349964;4488.000000;444.000000
38;4083.436511;764.069286;4476.600000;300.000000;-393.163489;464.069286;608.225148;4475.000000;633.000000
39;4051.723911;644.555527;4492.200000;300.000000;-440.476089;344.555527;559.229556;4483.000000;399.000000
40;4040.206389;616.613158;4507.800000;300.000000;-467.593611;316.613158;564.701405;4481.000000;344.000000
41;4104.338987;659.136477;4523.400000;300.000000;-419.061013;359.136477;551.897764;4528.000000;431.000000
42;4079.774014;652.298149;4539.000000;300.000000;-459.225986;352.298149;578.793998;4507.000000;416.000000
43;4088.974080;632.365846;4554.500000;300.000000;-465.525920;332.365846;571.997761;4522.000000;378.000000
44;4102.189305;640.134354;4570.100000;300.000000;-467.910695;340.134354;578.473678;4532.000000;394.000000
45;4123.385839;627.499552;4585.700000;300.000000;-462.314161;327.499552;566.560093;4556.000000;371.000000
46;4127.404110;626.837185;4601.300000;300.000000;-473.895890;326.837185;575.673397;4560.000000;370.000000
47;4147.055415;637.980390;4616.900000;300.000000;-469.844585;337.980390;578.778609;4575.000000;393.000000
48;4148.429240;613.692827;4632.500000;300.000000;-484.070760;313.692827;576.825528;4584.000000;346.000000
49;4171.206529;599.453091;4648.100000;300.000000;-476.893471;299.453091;563.115917;4610.000000;320.000000
50;4204.855139;604.928412;4663.600000;300.000000;-458.744861;304.928412;550.843158;4640.000000;333.000000
51;4230.906997;597.273242;4679.200000;300.000000;-448.293003;297.273242;537.901476;4667.000000;320.000000
52;4169.590249;578.884490;4694.800000;300.000000;-525.209751;278.884490;594.661115;4615.000000;280.000000
53;4203.161324;596.739188;4710.400000;300.000000;-507.238676;296.739188;587.660804;4641.000000;317.000000
54;4249.339803;607.945348;4726.000000;300.000000;-476.660197;307.945348;567.481525;4681.000000;342.000000
55;4316.637022;618.895898;4741.600000;300.000000;-424.962978;318.895898;531.307940;4741.000000;368.000000
56;4316.960381;623.009785;4757.100000;300.000000;-440.139619;323.009785;545.947071;4740.000000;376.000000
57;4293.695071;575.900002;4772.700000;300.000000;-479.004929;275.900002;552.780728;4733.000000;283.000000
58;4337.035399;594.429362;4788.300000;300.000000;-451.264601;294.429362;538.821297;4768.000000;322.000000
59;4348.003701;598.670083;4803.900000;300.000000;-455.896299;298.670083;545.018581;4777.000000;331.000000
60;4406.388688;611.493195;4819.500000;300.000000;-413.111312;311.493195;517.386670;4828.000000;360.000000
61;4407.891910;622.267915;4835.100000;300.000000;-427.208090;322.267915;535.129294;4826.000000;381.000000
62;4454.128473;624.189288;4850.600000;300.000000;-396.471527;324.189288;512.140963;4869.000000;388.000000
63;4406.182018;588.810382;4866.200000;300.000000;-460.017982;288.810382;543.164782;4835.000000;316.000000
64;4453.730691;604.091971;4881.800000;300.000000;-428.069309;304.091971;525.085955;4875.000000;349.000000
65;4464.566746;601.633402;4897.400000;300.000000;-432.833254;301.633402;527.567375;4886.000000;345.000000
66;4433.180877;624.954176;4913.000000;300.000000;-479.819123;324.954176;579.501171;4849.000000;388.000000
67;4451.691217;623.246998;4928.600000;300.000000;-476.908783;323.246998;576.134194;4867.000000;386.000000
68;4444.472799;633.308691;4944.200000;300.000000;-499.727201;333.308691;600.684575;4857.000000;405.000000
69;4446.454188;623.438081;4959.700000;300.000000;-513.245812;323.438081;606.657610;4862.000000;386.000000
70;4534.527859;633.114465;4975.300000;300.000000;-440.772141;333.114465;552.490115;4942.000000;411.000000
71;4557.321225;644.143130;4990.900000;300.000000;-433.578775;344.143130;553.556726;4960.000000;434.000000
72;4584.608177;662.227276;5006.500000;300.000000;-421.891823;362.227276;556.058729;4980.000000;471.000000
73;4557.150080;643.633667;5022.100000;300.000000;-464.949920;343.633667;578.154413;4960.000000;433.000000
74;4583.561083;662.265456;5037.700000;300.000000;-454.138917;362.265456;580.928926;4979.000000;471.000000
75;4623.267438;647.923476;5053.200000;300.000000;-429.932562;347.923476;553.075721;5021.000000;446.000000
76;4606.015012;643.912203;5068.800000;300.000000;-462.784988;343.912203;576.580913;5006.000000;437.000000
77;4570.633432;636.437208;5084.400000;300.000000;-513.766568;336.437208;614.122204;4975.000000;420.000000
78;4619.019937;657.360982;5100.000000;300.000000;-480.980063;357.360982;599.206719;5014.000000;464.000000
79;4624.696237;642.714396;5115.600000;300.000000;-490.903763;342.714396;598.698306;5024.000000;436.000000
80;4619.385045;626.921864;5131.200000;300.000000;-511.814955;326.921864;607.315777;5024.000000;405.000000
81;4631.119869;592.457700;5146.800000;300.000000;-515.680131;292.457700;592.838514;5046.000000;339.000000
82;4668.269685;624.105441;5162.300000;300.000000;-494.030315;324.105441;590.855557;5071.000000;403.000000
83;4672.840286;618.781636;5177.900000;300.000000;-505.059714;318.781636;597.249568;5077.000000;393.000000
84;4705.312665;589.232855;5193.500000;300.000000;-488.187335;289.232855;567.435035;5117.000000;338.000000
85;4696.403285;562.742332;5209.100000;300.000000;-512.696715;262.742332;576.100212;5117.000000;286.000000
86;4737.835868;607.126010;5224.700000;300.000000;-486.864132;307.126010;575.641441;5142.000000;375.000000
87;4737.835868;607.126010;5240.300000;300.000000;-502.464132;307.126010;588.894379;5142.000000;375.000000
88;4768.229616;602.921897;5255.800000;300.000000;-487.570384;302.921897;574.009194;5172.000000;369.000000
89;4779.883016;609.200471;5271.400000;300.000000;-491.516984;309.200471;580.683973;5181.000000;382.000000
90;4803.074164;640.326454;5287.000000;300.000000;-483.925836;340.326454;591.613311;5193.000000;444.000000
91;4805.663636;644.873167;5302.600000;300.000000;-496.936364;344.873167;604.882841;5194.000000;453.000000
92;4822.806633;610.727197;5318.200000;300.000000;-495.393367;310.727197;584.778573;5221.000000;388.000000
93;4838.937802;598.792942;5333.800000;300.000000;-494.862198;298.792942;578.070772;5240.000000;366.000000
94;4849.789415;621.602867;5349.400000;300.000000;-499.610585;321.602867;594.170970;5243.000000;411.000000
95;4912.571006;656.955981;5364.900000;300.000000;-452.328994;356.955981;576.210978;5291.000000;484.000000
96;4892.561075;619.525355;5380.500000;300.000000;-487.938925;319.525355;583.250244;5284.000000;410.000000
97;4864.759911;599.912819;5396.100000;300.000000;-531.340089;299.912819;610.139320;5264.000000;370.000000
98;4895.496467;596.727818;5411.700000;300.000000;-516.203533;296.727818;595.410351;5294.000000;366.000000
99;4914.743507;644.499967;5427.300000;300.000000;-512.556493;344.499967;617.571361;5297.000000;460.000000
100;4913.317819;621.345963;5442.900000;300.000000;-529.582181;321.345963;619.451785;5303.000000;415.000000
101;5000.379143;653.233876;5458.400000;300.000000;-458.020857;353.233876;578.409264;5375.000000;483.000000
102;4997.699950;607.435330;5474.000000;300.000000;-476.300050;307.435330;566.902302;5387.000000;394.000000
103;5029.328014;628.970903;5489.600000;300.000000;-460.271986;328.970903;565.749199;5410.000000;438.000000
104;5008.173489;607.052794;5505.200000;300.000000;-497.026511;307.052794;584.223220;5397.000000;394.000000
