Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4007.621211;362.578058;3900.000000;300.000000;107.621211;62.578058;124.492322;4033.000000;498.000000
2;4124.332840;348.103419;3915.600000;300.000000;208.732840;48.103419;214.203962;4143.000000;490.000000
3;4078.818455;358.309418;3931.200000;300.000000;147.618455;58.309418;158.717348;4104.000000;499.000000
4;4097.285490;339.160308;3946.800000;300.000000;150.485490;39.160308;155.497307;4107.000000;476.000000
5;4169.176908;338.720826;3962.300000;300.000000;206.876908;38.720826;210.469374;4182.000000;482.000000
6;4146.872601;333.319830;3977.900000;300.000000;168.972601;33.319830;172.226453;4154.000000;473.000000
7;4086.986727;371.692838;3993.500000;300.000000;93.486727;71.692838;117.811846;4124.000000;517.000000
8;4108.396414;333.718822;4009.100000;300.000000;99.296414;33.718822;104.865326;4114.000000;470.000000
9;4076.487775;364.680068;4024.700000;300.000000;51.787775;64.680068;82.858221;4107.000000;507.000000
10;4154.275907;328.917054;4040.300000;300.000000;113.975907;28.917054;117.587003;4158.000000;468.000000
11;4189.327644;251.968213;4055.800000;300.000000;133.527644;-48.031787;141.903785;4129.000000;372.000000
12;4252.485495;193.195501;4071.400000;300.000000;181.085495;-106.804499;210.235956;4145.000000;302.000000
13;4255.581140;204.611325;4087.000000;300.000000;168.581140;-95.388675;193.697186;4158.000000;317.000000
14;4284.264478;203.355000;4102.600000;300.000000;181.664478;-96.645000;205.772297;4187.000000;318.000000
15;4235.548649;247.917466;4118.200000;300.000000;117.348649;-52.082534;128.387288;4174.000000;371.000000
16;4242.339724;255.968854;4133.800000;300.000000;108.539724;-44.031146;117.130754;4188.000000;382.000000
17;4278.250296;215.416275;4149.400000;300.000000;128.850296;-84.583725;154.132428;4191.000000;333.000000
18;4317.691377;205.640791;4164.900000;300.000000;152.791377;-94.359209;179.579690;4224.000000;324.000000
19;4352.060350;193.897342;4180.500000;300.000000;171.560350;-106.102658;201.719429;4250.000000;312.000000
20;4309.829092;252.738833;4196.100000;300.000000;113.729092;-47.261167;123.158127;4256.000000;384.000000
21;4353.943461;232.548147;4211.700000;300.000000;142.243461;-67.451853;157.426029;4285.000000;362.000000
22;4367.337351;278.140078;4227.300000;300.000000;140.037351;-21.859922;141.733256;4338.000000;422.000000
23;4391.418970;234.547173;4242.900000;300.000000;148.518970;-65.452827;162.302055;4326.000000;368.000000
24;4408.791975;199.186109;4258.400000;300.000000;150.391975;-100.813891;181.055756;4314.000000;324.000000
25;4396.762835;223.309028;4274.000000;300.000000;122.762835;-76.690972;144.748813;4322.000000;354.000000
26;4390.195285;259.455503;4289.600000;300.000000;100.595285;-40.544497;108.458599;4346.000000;400.000000
27;4376.965539;246.430769;4305.200000;300.000000;71.765539;-53.569231;89.554202;4321.000000;382.000000
28;4427.211816;237.441066;4320.800000;300.000000;106.411816;-62.558934;123.438628;4366.000000;375.000000
29;4479.929838;249.995071;4336.400000;300.000000;143.529838;-50.004929;151.991142;4432.000000;396.000000
30;4466.723688;241.622714;4351.900000;300.000000;114.823688;-58.377286;128.811439;4411.000000;384.000000
31;4450.351620;274.585760;4367.500000;300.000000;82.851620;-25.414240;86.661840;4422.000000;425.000000
32;4489.675493;241.548019;4383.100000;300.000000;106.575493;-58.451981;121.552333;4435.000000;386.000000
33;4491.723265;246.056922;4398.700000;300.000000;93.023265;-53.943078;107.532244;4441.000000;392.000000
34;4590.686149;192.504568;4414.300000;300.000000;176.386149;-107.495432;206.560745;4499.000000;332.000000
35;4483.048821;266.063458;4429.900000;300.000000;53.148821;-33.936542;63.059385;4449.000000;417.000000
36;4488.192238;281.988370;4445.500000;300.000000;42.692238;-18.011630;46.336228;4468.000000;438.000000
37;4504.411573;285.493508;4461.000000;300.000000;43.411573;-14.506492;45.771202;4488.000000;444.000000
38;4393.443405;447.884186;4476.600000;300.000000;-83.156595;147.884186;169.660696;4475.000000;633.000000
