Epoch;TrainMSE;TestMSE
1;1759588.13131832;2038034.75720055
2;1402254.78362242;1592191.52851374
3;1130066.24764807;1290092.57817423
4;886543.10791418;1019464.55207917
5;694677.98607445;802923.24892380
6;584675.24461846;672924.14716194
7;550344.22181670;627939.76762970
8;537115.80291622;612862.11405494
9;514984.17362649;590539.15945502
10;477594.48533919;550862.46553943
11;423891.95074677;494073.16060888
12;365085.94369541;431299.41117472
13;314877.88643410;376046.67429992
14;277826.40497493;333465.62499445
15;251833.44499761;302004.74397550
16;231084.90420424;276284.08893623
17;212218.67072976;253028.36408823
18;193426.69326577;230154.62264235
19;174175.79079780;207146.66098611
20;154430.22319863;183748.10420272
21;134057.49800684;160013.29250433
22;114218.38924224;137154.58181334
23;95659.17616002;115959.94496960
24;79240.25243166;97357.19877513
25;65354.17437060;81762.18843474
26;54313.76787201;69473.66582346
27;45885.83767695;60292.05023743
28;39773.40963450;53782.03488217
29;35537.01397870;49396.47414903
30;32631.77024609;46521.61789376
31;30670.47860674;44659.03696800
32;29325.60891519;43437.49558425
33;28372.23648637;42653.32871788
34;27730.00046064;42162.50015533
35;27301.57929238;41857.40877824
36;26993.15287990;41660.69107531
37;26787.66529065;41539.79745263
38;26647.70731534;41462.01358008
39;26546.29016884;41414.91323836
40;26471.02953422;41387.79141703
