Epoch;TrainMSE;TestMSE
1;10089553.00490761;10494548.59486087
2;9117516.75509806;9537548.63355967
3;8254275.62957320;8687695.07335907
4;7488607.01068335;7935496.92983624
5;6815964.60911008;7273522.39790530
6;6228607.94784119;6692692.03816625
7;5713858.96965080;6183590.48577642
8;5242119.47912053;5703224.01029601
9;4809034.47825240;5265181.95925975
10;4413702.66272168;4862031.43691475
11;4051571.35715678;4489218.18133404
12;3718979.03088071;4144992.03550348
13;3414317.26931595;3828953.81529313
14;3136434.55096292;3539967.40922203
15;2882837.41232748;3275728.23787334
16;2650488.41429407;3033438.92211423
17;2438732.69613592;2810628.19225136
18;2244849.65405808;2605048.00177517
19;2067477.75249367;2415363.37425110
20;1906037.45711603;2240469.10043048
21;1758014.54975816;2079195.07637687
22;1622715.56309906;1930679.85692096
23;1499262.26968800;1794312.66853060
24;1386845.52755878;1669406.39098212
25;1284779.99709441;1555242.09293037
26;1192240.28092057;1451138.19837572
27;1108527.83190121;1356375.50330626
28;1032750.34424109;1270298.42595305
29;964274.00216147;1192315.82479031
30;902368.90881066;1121845.10185062
31;846560.53689563;1058285.84493853
32;796334.95427245;1001055.27430879
33;751093.17817976;949611.78289620
34;710522.29201141;903464.93409666
35;674194.13992878;862135.92508765
36;641761.33515228;825149.13415879
37;612839.69852772;791935.59668042
38;586894.32553195;761874.45045045
39;563529.24458303;734675.62348555
40;542591.40811084;710264.45053921
41;523874.64819375;688469.37877779
42;507203.49350672;669056.18745839
43;492372.46553160;651776.79527804
44;479171.40506352;636343.03892069
45;467305.46512411;622386.54559979
46;456306.25048279;609493.22540274
47;446145.89472565;597779.96147872
48;437149.03431781;587582.95193716
49;429072.85410060;578612.21568366
50;421715.35885761;570618.67163715
51;414967.15114363;563486.20920428
52;408727.86832734;557201.42226956
53;402942.21299364;551794.62228731
54;398531.73615860;547876.67367860
55;394190.30852364;543723.86810456
56;389417.09661074;538966.46944481
57;384655.31428166;534013.61416589
58;379736.34796166;528148.27958993
59;374450.65528055;520209.99600586
60;386742.61027940;494563.09732392
61;372526.34877664;482545.67363423
62;358650.39859681;471003.00821018
63;346104.38027745;460681.25362801
64;335003.75075740;451293.88257223
65;324955.47749057;442328.50876492
66;315345.12056411;433351.09217592
67;305803.01458108;424161.76807349
68;296183.64098294;414659.37709138
69;286462.27195578;404736.71575023
70;277004.85374626;394662.13358186
71;268386.43955849;385316.75320641
72;260362.21859221;376498.57400257
73;252756.90094432;367948.83521946
74;245474.40554187;359427.31744552
75;238429.97204259;350355.96715928
76;231224.58097550;338587.91993964
77;223335.79150648;326635.50454888
78;217463.88817037;318205.60280478
79;211652.47091756;310295.56295211
80;206383.68676364;302046.00754449
81;202565.11723332;292415.75857631
82;199384.08263204;284920.10402521
83;195946.57179810;278026.06594772
84;192406.04957213;271376.79172769
85;186962.77377177;265511.93431856
86;181593.37299577;260857.42191453
87;174020.63873288;252807.07229397
88;163438.87603423;239474.07695380
89;153051.81538898;226576.14414414
90;140048.03316620;205296.20805041
91;134259.70185851;194653.88825278
92;133839.92771469;179931.83757156
93;115194.43941676;163639.87396263
94;107185.91145049;153981.34717969
95;100595.64062860;145127.30093640
96;95183.17934908;137675.17081614
97;90469.04749925;131381.07912839
98;86336.94452811;125835.04868415
99;82694.55386850;120808.52793680
100;79450.84704924;116173.55665025
