Epoch;TrainMSE;TestMSE
1;10084451.12896196;10490359.70638619
2;9111756.53512393;9534440.95965917
3;8249632.38835640;8684889.15066791
4;7485898.74358202;7933114.91306084
5;6813377.67701929;7271424.68166689
6;6227086.90608224;6690780.46243288
7;5701425.32409688;6165894.04979364
8;5223567.41406375;5685778.79128389
9;4789830.16494517;5245450.70217015
10;4392928.83170632;4838402.13588958
11;4028876.77550803;4463646.40234323
12;3696602.59079071;4120582.18044646
13;3393331.24716971;3807691.62526073
14;3114558.25494747;3519665.36972440
15;2858953.57341034;3253881.08676164
16;2623644.34944989;3008379.93840146
17;2408145.24302394;2781029.48883859
18;2209374.25778219;2569613.13912928
19;2026018.62438212;2372947.15199929
20;1857063.97633010;2190324.59344073
21;1702075.33632160;2021776.36568588
22;1559779.84784650;1866708.05520792
23;1430019.45608844;1724393.64132606
24;1312206.49901671;1594007.48910487
25;1204876.24825045;1474510.73820619
26;1107518.32751626;1365731.79035193
27;1019132.37609624;1267084.68468468
28;938970.57264851;1177598.09133271
29;866021.23572454;1096004.01899436
30;800271.59321794;1020834.79341410
31;742570.77249615;946901.65712511
32;702171.94691990;900881.23481117
33;654815.51639707;845320.74805840
34;610134.62445299;792853.21120135
35;571041.38390943;746661.28149825
36;538191.96173130;705822.07287090
37;514951.66281027;673101.56233080
38;503862.78943359;657036.35521236
39;489743.40726042;642151.93147828
40;467973.46080116;619067.19140816
41;445383.59591092;595634.25589136
42;422144.02267775;570747.32490126
43;396882.90076715;540471.58993476
44;386488.61952767;517545.72369414
45;361823.68648017;491016.15728043
46;346545.77991956;473703.95420051
47;336710.45975586;452409.45315759
48;340207.94869160;446424.32698709
49;335683.53886222;437406.14671815
50;324575.18076644;424773.63227267
51;311539.68598409;411407.23525496
52;297927.74104849;397847.60839657
53;284255.89057988;383878.48151600
54;267640.74085360;364744.31917632
55;244488.15945290;337512.45408956
56;223222.42092022;310995.36217991
57;208528.69308860;288759.75183065
58;197023.71029180;270683.71827986
59;187727.50364084;256687.02933475
60;180016.59840901;245011.84786757
61;172760.66318233;234200.79279279
62;165331.16156122;223591.42022811
63;157368.35193027;212756.96125682
64;148668.04386726;201397.11889229
65;139382.68624984;189553.31575911
66;130009.77439186;177629.04184973
67;120984.44887763;166049.69138597
68;112531.20124728;155101.31451649
69;104906.90686179;145099.15945502
70;98350.82500930;136334.16162961
71;92833.36576723;128849.52735987
72;88118.71686480;122477.83925798
73;83970.38569885;117006.64447699
74;80232.48544549;112273.49043625
75;76797.32402601;108160.07384725
76;73606.96433570;104577.28948653
77;70638.63338235;101445.16646696
78;67893.30177347;98688.00568056
79;65368.26178623;96234.78879865
80;63055.76216714;94026.01766298
81;60941.05331042;92014.44139706
82;59010.24736460;90163.80668353
83;57250.54047446;88447.43194426
84;55648.87479404;86839.36839302
85;54189.52103892;85315.66111925
86;52858.66392644;83860.69427063
87;51643.72637882;82464.02698265
88;50532.59394433;81121.23410110
89;49517.74668249;79834.13908490
90;48592.92553550;78607.16708827
91;47751.78527010;77444.66373763
92;46987.98518860;76349.19664492
93;46295.63814822;75321.84511605
94;45667.40109491;74360.85953934
95;45096.60223588;73463.05312209
96;44575.00954946;72622.96684862
97;44095.12577290;71835.20986997
98;43652.40628599;71095.73194870
99;43239.63049448;70398.40376337
100;42852.55765994;69738.80015977
