Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4088.008789;436.220398;3900.000000;300.000000;188.008789;136.220398;232.170846;4033.000000;498.000000
2;4196.511230;424.780334;3915.600000;300.000000;280.911230;124.780334;307.378027;4143.000000;490.000000
3;4158.375000;434.411438;3931.200000;300.000000;227.175000;134.411438;263.960064;4104.000000;499.000000
4;4160.104492;413.492828;3946.800000;300.000000;213.304492;113.492828;241.618353;4107.000000;476.000000
5;4234.701172;416.053558;3962.300000;300.000000;272.401172;116.053558;296.092598;4182.000000;482.000000
6;4206.487305;408.983124;3977.900000;300.000000;228.587305;108.983124;253.237985;4154.000000;473.000000
7;4179.152832;449.927917;3993.500000;300.000000;185.652832;149.927917;238.632258;4124.000000;517.000000
8;4166.712891;407.798492;4009.100000;300.000000;157.612891;107.798492;190.951141;4114.000000;470.000000
9;4161.777344;441.532715;4024.700000;300.000000;137.077344;141.532715;197.032250;4107.000000;507.000000
10;4210.178223;404.307770;4040.300000;300.000000;169.878223;104.307770;199.345733;4158.000000;468.000000
11;4176.277832;318.583618;4055.800000;300.000000;120.477832;18.583618;121.902661;4129.000000;372.000000
12;4188.344727;254.656311;4071.400000;300.000000;116.944727;-45.343689;125.427745;4145.000000;302.000000
13;4202.028320;267.727203;4087.000000;300.000000;115.028320;-32.272797;119.469862;4158.000000;317.000000
14;4230.801270;267.523102;4102.600000;300.000000;128.201270;-32.476898;132.250952;4187.000000;318.000000
15;4220.787598;315.959106;4118.200000;300.000000;102.587598;15.959106;103.821521;4174.000000;371.000000
16;4235.246094;325.373627;4133.800000;300.000000;101.446094;25.373627;104.571176;4188.000000;382.000000
17;4235.572266;280.937683;4149.400000;300.000000;86.172266;-19.062317;88.255489;4191.000000;333.000000
18;4267.766602;271.536011;4164.900000;300.000000;102.866602;-28.463989;106.732078;4224.000000;324.000000
19;4292.867188;259.688232;4180.500000;300.000000;112.367188;-40.311768;119.379326;4250.000000;312.000000
20;4302.694824;324.583405;4196.100000;300.000000;106.594824;24.583405;109.392871;4256.000000;384.000000
21;4330.227051;303.576172;4211.700000;300.000000;118.527051;3.576172;118.580988;4285.000000;362.000000
22;4385.950684;355.820648;4227.300000;300.000000;158.650684;55.820648;168.184376;4338.000000;422.000000
23;4371.152832;307.436035;4242.900000;300.000000;128.252832;7.436035;128.468220;4326.000000;368.000000
24;4356.895020;268.096161;4258.400000;300.000000;98.495020;-31.903839;103.533202;4314.000000;324.000000
25;4366.436035;294.925812;4274.000000;300.000000;92.436035;-5.074188;92.575202;4322.000000;354.000000
26;4392.686035;335.615814;4289.600000;300.000000;103.086035;35.615814;109.065195;4346.000000;400.000000
27;4366.957520;320.290222;4305.200000;300.000000;61.757520;20.290222;65.005264;4321.000000;382.000000
28;4411.143555;312.238678;4320.800000;300.000000;90.343555;12.238678;91.168762;4366.000000;375.000000
29;4477.637207;328.710815;4336.400000;300.000000;141.237207;28.710815;144.125846;4432.000000;396.000000
30;4456.192871;318.659302;4351.900000;300.000000;104.292871;18.659302;105.948915;4411.000000;384.000000
31;4469.299316;355.323853;4367.500000;300.000000;101.799316;55.323853;115.861251;4422.000000;425.000000
32;4480.068359;319.551239;4383.100000;300.000000;96.968359;19.551239;98.919733;4435.000000;386.000000
33;4486.333984;324.748840;4398.700000;300.000000;87.633984;24.748840;91.061629;4441.000000;392.000000
34;4540.533203;268.261597;4414.300000;300.000000;126.233203;-31.738403;130.162006;4499.000000;332.000000
35;4495.605469;347.055634;4429.900000;300.000000;65.705469;47.055634;80.817333;4449.000000;417.000000
36;4515.555176;365.324249;4445.500000;300.000000;70.055176;65.324249;95.786143;4468.000000;438.000000
37;4535.685059;369.986969;4461.000000;300.000000;74.685059;69.986969;102.352498;4488.000000;444.000000
38;4533.011719;541.435974;4476.600000;300.000000;56.411719;241.435974;247.938726;4475.000000;633.000000
39;4528.304688;329.475189;4492.200000;300.000000;36.104688;29.475189;46.608317;4483.000000;399.000000
40;4523.355469;279.803589;4507.800000;300.000000;15.555469;-20.196411;25.492501;4481.000000;344.000000
