Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;3849.607666;709.579407;3900.000000;300.000000;-50.392334;409.579407;412.667757;4033.000000;498.000000
2;3948.970703;710.267090;3915.600000;300.000000;33.370703;410.267090;411.622022;4143.000000;490.000000
3;3912.227295;710.500000;3931.200000;300.000000;-18.972705;410.500000;410.938211;4104.000000;499.000000
4;3917.582275;708.676270;3946.800000;300.000000;-29.217725;408.676270;409.719378;4107.000000;476.000000
5;3986.220459;710.131104;3962.300000;300.000000;23.920459;410.131104;410.828079;4182.000000;482.000000
6;3961.086914;708.998657;3977.900000;300.000000;-16.813086;408.998657;409.344087;4154.000000;473.000000
7;3928.613037;712.332397;3993.500000;300.000000;-64.886963;412.332397;417.406665;4124.000000;517.000000
8;3924.665527;708.285156;4009.100000;300.000000;-84.434473;408.285156;416.924392;4114.000000;470.000000
9;3914.091553;711.214233;4024.700000;300.000000;-110.608447;411.214233;425.830218;4107.000000;507.000000
10;3965.384277;708.641235;4040.300000;300.000000;-74.915723;408.641235;415.451591;4158.000000;468.000000
11;3952.145508;701.574951;4055.800000;300.000000;-103.654492;401.574951;414.736899;4129.000000;372.000000
12;3978.629150;697.544250;4071.400000;300.000000;-92.770850;397.544250;408.225258;4145.000000;302.000000
13;3987.744141;698.375488;4087.000000;300.000000;-99.255859;398.375488;410.554205;4158.000000;317.000000
14;4014.008789;698.456238;4102.600000;300.000000;-88.591211;398.456238;408.185958;4187.000000;318.000000
15;3993.440430;701.712280;4118.200000;300.000000;-124.759570;401.712280;420.639640;4174.000000;371.000000
16;4004.671631;702.523499;4133.800000;300.000000;-129.128369;402.523499;422.728403;4188.000000;382.000000
17;4015.136475;699.365723;4149.400000;300.000000;-134.263525;399.365723;421.330838;4191.000000;333.000000
18;4046.851807;698.875061;4164.900000;300.000000;-118.048193;398.875061;415.976791;4224.000000;324.000000
19;4072.580811;698.157410;4180.500000;300.000000;-107.919189;398.157410;412.523786;4250.000000;312.000000
20;4067.381592;703.128479;4196.100000;300.000000;-128.718408;403.128479;423.179630;4256.000000;384.000000
21;4097.155273;701.697510;4211.700000;300.000000;-114.544727;401.697510;417.709688;4285.000000;362.000000
22;4139.148926;707.063293;4227.300000;300.000000;-88.151074;407.063293;416.498664;4338.000000;422.000000
23;4134.033691;702.419434;4242.900000;300.000000;-108.866309;402.419434;416.885204;4326.000000;368.000000
24;4129.004883;699.078125;4258.400000;300.000000;-129.395117;399.078125;419.531222;4314.000000;324.000000
25;4132.155273;701.312134;4274.000000;300.000000;-141.844727;401.312134;425.642285;4322.000000;354.000000
26;4148.765137;705.228455;4289.600000;300.000000;-140.834863;405.228455;429.004148;4346.000000;400.000000
27;4127.740234;703.493774;4305.200000;300.000000;-177.459766;403.493774;440.793823;4321.000000;382.000000
28;4169.793945;703.288330;4320.800000;300.000000;-151.006055;403.288330;430.632449;4366.000000;375.000000
29;4227.846680;705.782654;4336.400000;300.000000;-108.553320;405.782654;420.051646;4432.000000;396.000000
30;4209.833008;704.459167;4351.900000;300.000000;-142.066992;404.459167;428.684323;4411.000000;384.000000
31;4216.479980;708.490051;4367.500000;300.000000;-151.020020;408.490051;435.512535;4422.000000;425.000000
32;4231.425781;704.863098;4383.100000;300.000000;-151.674219;404.863098;432.341528;4435.000000;386.000000
33;4236.353516;705.490967;4398.700000;300.000000;-162.346484;405.490967;436.782904;4441.000000;392.000000
34;4294.253418;700.098877;4414.300000;300.000000;-120.046582;400.098877;417.720353;4499.000000;332.000000
35;4241.742676;708.053894;4429.900000;300.000000;-188.157324;408.053894;449.345256;4449.000000;417.000000
36;4257.872070;710.534668;4445.500000;300.000000;-187.627930;410.534668;451.378947;4468.000000;438.000000
37;4275.929199;711.522339;4461.000000;300.000000;-185.070801;411.522339;451.222602;4488.000000;444.000000
38;4266.140625;736.609131;4476.600000;300.000000;-210.459375;436.609131;484.686168;4475.000000;633.000000
39;4273.910156;706.612061;4492.200000;300.000000;-218.289844;406.612061;461.501705;4483.000000;399.000000
40;4276.841797;701.200867;4507.800000;300.000000;-230.958203;401.200867;462.929613;4481.000000;344.000000
41;4313.120117;710.655457;4523.400000;300.000000;-210.279883;410.655457;461.362691;4528.000000;431.000000
42;4294.665039;708.689453;4539.000000;300.000000;-244.334961;408.689453;476.158211;4507.000000;416.000000
43;4310.796875;704.750854;4554.500000;300.000000;-243.703125;404.750854;472.455783;4522.000000;378.000000
44;4318.754395;706.537598;4570.100000;300.000000;-251.345605;406.537598;477.961747;4532.000000;394.000000
45;4342.283203;704.165894;4585.700000;300.000000;-243.416797;404.165894;471.806959;4556.000000;371.000000
46;4346.021484;704.069641;4601.300000;300.000000;-255.278516;404.069641;477.953340;4560.000000;370.000000
47;4358.193848;706.735657;4616.900000;300.000000;-258.706152;406.735657;482.040214;4575.000000;393.000000
48;4370.154297;701.446167;4632.500000;300.000000;-262.345703;401.446167;479.566776;4584.000000;346.000000
49;4397.092285;698.437012;4648.100000;300.000000;-251.007715;398.437012;470.910740;4610.000000;320.000000
50;4424.154785;699.649048;4663.600000;300.000000;-239.445215;399.649048;465.889871;4640.000000;333.000000
51;4451.896973;697.776978;4679.200000;300.000000;-227.303027;397.776978;458.141016;4667.000000;320.000000
