Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4088.857422;1248.116089;3900.000000;300.000000;188.857422;948.116089;966.742594;4033.000000;498.000000
2;4243.832520;1241.416626;3915.600000;300.000000;328.232520;941.416626;996.996415;4143.000000;490.000000
3;4186.479980;1244.004761;3931.200000;300.000000;255.279980;944.004761;977.912500;4104.000000;499.000000
4;4193.336914;1243.310547;3946.800000;300.000000;246.536914;943.310547;974.994994;4107.000000;476.000000
5;4301.766602;1238.822021;3962.300000;300.000000;339.466602;938.822021;998.310754;4182.000000;482.000000
6;4261.820313;1240.347656;3977.900000;300.000000;283.920312;940.347656;982.275144;4154.000000;473.000000
7;4213.238770;1243.214966;3993.500000;300.000000;219.738770;943.214966;968.472818;4124.000000;517.000000
8;4204.065918;1242.751953;4009.100000;300.000000;194.965918;942.751953;962.700864;4114.000000;470.000000
9;4189.885254;1244.007446;4024.700000;300.000000;165.185254;944.007446;958.350785;4107.000000;507.000000
10;4268.238770;1239.986694;4040.300000;300.000000;227.938770;939.986694;967.228550;4158.000000;468.000000
11;4237.379395;1239.852661;4055.800000;300.000000;181.579395;939.852661;957.232522;4129.000000;372.000000
12;4269.424316;1237.603149;4071.400000;300.000000;198.024316;937.603149;958.286646;4145.000000;302.000000
13;4286.461426;1237.021240;4087.000000;300.000000;199.461426;937.021240;958.015483;4158.000000;317.000000
14;4328.469727;1235.186157;4102.600000;300.000000;225.869727;935.186157;962.076027;4187.000000;318.000000
15;4303.078125;1236.977051;4118.200000;300.000000;184.878125;936.977051;955.042363;4174.000000;371.000000
16;4322.113770;1236.305664;4133.800000;300.000000;188.313770;936.305664;955.055167;4188.000000;382.000000
17;4332.403320;1235.198364;4149.400000;300.000000;183.003320;935.198364;952.935567;4191.000000;333.000000
18;4380.725098;1232.973267;4164.900000;300.000000;215.825098;932.973267;957.611398;4224.000000;324.000000
19;4418.416992;1231.178101;4180.500000;300.000000;237.916992;931.178101;961.091645;4250.000000;312.000000
20;4418.585938;1232.182373;4196.100000;300.000000;222.485937;932.182373;958.365259;4256.000000;384.000000
21;4460.186523;1230.067993;4211.700000;300.000000;248.486523;930.067993;962.689994;4285.000000;362.000000
22;4522.018066;1228.484497;4227.300000;300.000000;294.718066;928.484497;974.136643;4338.000000;422.000000
23;4512.128418;1227.958374;4242.900000;300.000000;269.228418;927.958374;966.224966;4326.000000;368.000000
24;4501.448242;1227.751953;4258.400000;300.000000;243.048242;927.751953;959.060027;4314.000000;324.000000
25;4508.497559;1227.892090;4274.000000;300.000000;234.497559;927.892090;957.064698;4322.000000;354.000000
26;4533.594238;1227.604126;4289.600000;300.000000;243.994238;927.604126;959.157236;4346.000000;400.000000
27;4504.594238;1228.503052;4305.200000;300.000000;199.394238;928.503052;949.671511;4321.000000;382.000000
28;4559.043945;1226.116699;4320.800000;300.000000;238.243945;926.116699;956.270003;4366.000000;375.000000
29;4627.104004;1223.746094;4336.400000;300.000000;290.704004;923.746094;968.408831;4432.000000;396.000000
30;4606.982422;1224.320923;4351.900000;300.000000;255.082422;924.320923;958.872364;4411.000000;384.000000
31;4615.525391;1224.779663;4367.500000;300.000000;248.025391;924.779663;957.462281;4422.000000;425.000000
32;4630.576660;1223.418579;4383.100000;300.000000;247.476660;923.418579;956.005528;4435.000000;386.000000
33;4635.923340;1223.322754;4398.700000;300.000000;237.223340;923.322754;953.309929;4441.000000;392.000000
34;4688.399902;1220.189941;4414.300000;300.000000;274.099902;920.189941;960.145971;4499.000000;332.000000
35;4642.049805;1223.585571;4429.900000;300.000000;212.149805;923.585571;947.638036;4449.000000;417.000000
36;4658.251953;1223.426025;4445.500000;300.000000;212.751953;923.426025;947.617548;4468.000000;438.000000
37;4675.158691;1222.942017;4461.000000;300.000000;214.158691;922.942017;947.462881;4488.000000;444.000000
38;4658.593262;1229.165527;4476.600000;300.000000;181.993262;929.165527;946.821063;4475.000000;633.000000
39;4672.776367;1222.047363;4492.200000;300.000000;180.576367;922.047363;939.563284;4483.000000;399.000000
40;4673.586914;1220.970581;4507.800000;300.000000;165.786914;920.970581;935.773537;4481.000000;344.000000
41;4706.671387;1221.523315;4523.400000;300.000000;183.271387;921.523315;939.570978;4528.000000;431.000000
42;4691.378418;1221.723633;4539.000000;300.000000;152.378418;921.723633;934.234252;4507.000000;416.000000
43;4703.841797;1220.474243;4554.500000;300.000000;149.341797;920.474243;932.510485;4522.000000;378.000000
44;4710.504883;1220.566284;4570.100000;300.000000;140.404883;920.566284;931.212014;4532.000000;394.000000
45;4727.205566;1219.503296;4585.700000;300.000000;141.505566;919.503296;930.327973;4556.000000;371.000000
46;4729.769531;1219.394287;4601.300000;300.000000;128.469531;919.394287;928.326600;4560.000000;370.000000
47;4738.601563;1219.585449;4616.900000;300.000000;121.701563;919.585449;927.603724;4575.000000;393.000000
48;4744.648926;1218.407227;4632.500000;300.000000;112.148926;918.407227;925.229277;4584.000000;346.000000
49;4759.094727;1217.429443;4648.100000;300.000000;110.994727;917.429443;924.119372;4610.000000;320.000000
50;4773.501465;1217.228516;4663.600000;300.000000;109.901465;917.228516;923.789198;4640.000000;333.000000
51;4785.206055;1216.631592;4679.200000;300.000000;106.006055;916.631592;922.740895;4667.000000;320.000000
52;4762.150879;1216.615845;4694.800000;300.000000;67.350879;916.615845;919.086910;4615.000000;280.000000
53;4774.037109;1216.900024;4710.400000;300.000000;63.637109;916.900024;919.105726;4641.000000;317.000000
54;4790.859375;1216.929810;4726.000000;300.000000;64.859375;916.929810;919.220873;4681.000000;342.000000
