Epoch;TrainMSE;TestMSE
1;8359525.91378913;8789106.74725957
2;6404241.82697589;6861668.35272711
3;5050554.13893663;5503566.14174766
4;3958988.97053665;4390593.52522966
5;3126779.70937052;3527332.39533129
6;2511544.73291639;2869038.86459859
7;1957022.98006839;2283464.10331514
8;1575610.72855801;1857716.05094750
9;1240023.77875024;1490034.02014823
10;965194.17437060;1194823.72271779
11;793993.74009177;983008.18887853
12;668754.31114576;836636.49367594
13;631316.58232199;787682.44974038
14;584551.73254434;729198.24825811
15;511023.55069716;638538.14263525
16;387783.75465514;499482.82359206
17;380996.14209025;490151.34922114
18;353594.45869284;442762.95779523
19;484913.11999717;546012.63284960
20;390842.89183778;425856.57373630
21;273412.62626012;357137.32570008
22;255787.53673618;319965.80304442
23;227138.25076626;281664.07668752
24;211953.64952253;258190.94554653
25;123473.01397870;186902.81311854
26;147980.67232429;203247.66271690
27;146527.30095849;196631.04034083
28;138184.24902999;174340.28314028
29;120843.01231331;169681.83979053
30;103381.84660631;140404.17876004
31;92198.52495438;123468.46030267
32;82960.99923817;123407.46247726
33;66162.05091863;107208.06923179
34;60975.02910901;100190.26316957
35;60997.81117233;94621.00492611
36;61589.53705508;88761.33386589
37;67131.24334284;86606.33488661
38;68814.86639619;86008.42213642
39;65915.28529667;84525.21723694
40;63268.41138848;81161.96937825
41;67893.03417607;81747.32241601
42;61413.81173928;78853.26587671
43;58334.94945343;77799.41454755
44;61444.29970058;79141.35534549
45;70699.63198271;83141.00173079
46;67868.60117286;79597.01557715
47;65084.98499371;78359.58567434
48;65731.15560831;78095.92828296
49;59471.54899633;76185.43185550
50;53133.06011374;78115.79319221
51;58967.14604114;81745.79434607
52;63006.50610350;86502.74424178
53;64686.11973141;84198.13074158
54;65711.29443864;84770.23103892
55;63996.18560317;77990.37216527
56;67814.66895806;87241.86428793
57;62548.56984923;82041.37647007
58;68966.31745301;82404.40953269
59;121662.54975816;164178.14086007
