Epoch;TrainMSE;TestMSE
1;4618252.30040926;5059336.37314162
2;1789498.51765498;2097177.08534150
3;1514696.92482682;1749147.05649492
4;1368320.45809046;1578856.66995074
5;1226904.35816665;1420452.73616474
6;1091787.95457364;1269520.59858874
7;964187.79044346;1126633.94807616
8;846311.04540864;993906.22464829
9;741883.25581560;875167.85088537
10;656222.48002410;776002.13304931
11;594974.82359194;702630.96294324
12;560175.44184398;658112.84356277
13;545067.56394947;637015.70780633
14;537446.35373740;627225.97150845
15;529649.78105345;619316.99960059
16;518607.31541555;608659.41046465
17;503494.06743086;593953.44712200
18;484171.75727725;574652.14006124
19;460289.91400174;550617.61079306
20;431987.10770158;521887.30555186
21;400603.50243609;489595.33626237
22;367932.74460961;455552.34651400
23;335802.44281842;421316.58136955
24;305740.06115905;388652.69462566
25;278975.20514501;358647.28602494
26;255853.91903336;331912.87871122
27;236361.23551193;308479.48874983
28;220241.09561859;288336.48213731
29;206916.59564516;270937.32108463
30;195620.73794802;255757.87192118
31;186104.79301242;242375.79656504
32;177452.63433907;230051.78183109
33;169614.93329554;218591.37087827
34;161972.60556668;207556.84267519
35;154500.17950853;196857.21741446
36;147061.28930071;186324.33923579
37;139600.58310154;175871.29561088
38;132093.85014971;165502.66506901
39;124494.11122726;155181.56943150
40;116780.94729196;144897.92002840
41;108931.17261662;134633.31185373
42;100971.32016370;124434.07553366
43;92913.22771646;114346.13269427
44;84849.20277094;104469.00670128
45;76906.71240012;94939.53082146
46;69227.62404550;85920.64616340
47;61960.62207891;77591.67656326
48;55291.45084421;70121.09599254
49;49368.62689793;63649.70842764
50;44280.97443439;58181.67203657
51;40058.51878887;53728.81942041
52;36645.21871623;50195.79106200
53;33942.19017416;47454.74033640
54;31826.37237567;45359.03501531
55;30185.34039651;43780.22917499
56;28913.00320677;42598.67039453
57;27935.20684584;41719.05880265
58;27180.29417288;41058.64571961
59;26596.67104867;40563.60786402
60;26139.16793934;40192.78959748
61;25778.01803589;39917.04682022
62;25489.55484294;39711.73443394
63;25255.88788689;39559.61194692
64;25063.85500416;39451.09341854
65;24908.43534185;39373.64185861
66;24784.29055862;39317.35321528
67;24685.26137874;39275.97035459
68;24603.91403717;39246.93134514
69;24536.71080559;39227.77082501
70;24480.26136102;39216.56308525
71;24432.82405258;39211.48466693
72;24393.91130875;39211.80277815
73;24362.45500771;39214.34766786
74;24335.69073224;39219.28975281
75;24313.45973814;39225.09528247
76;24294.15644101;39231.35241646
77;24277.34316036;39237.80836995
78;24262.28060167;39244.74433054
79;24248.89166061;39252.54941641
80;24237.14232057;39260.98504416
81;24226.20030828;39268.90658146
