Epoch;TrainMSE;TestMSE
1;10626032.56099073;11021926.81808903
2;10090761.71061070;10495596.36231305
3;9586694.85775030;9999342.86743887
4;9110754.50532396;9530913.01539964
5;8657359.82339706;9088851.12927706
6;8236674.50589090;8672526.07642125
7;7838803.07311801;8281377.25398305
8;7464659.89178463;7914513.95056140
9;7114787.19586131;7570979.28762260
10;6789302.25650656;7249492.09497182
11;6485237.88118987;6948642.50370568
12;6199238.48923693;6667367.47703368
13;5934247.47061637;6404378.57364754
14;5684532.47176798;6154812.14574180
15;5438041.84922843;5901840.65539431
16;5206221.15195861;5668423.00696756
17;4984686.64472122;5444152.41929614
18;4772991.01351806;5228819.12075622
19;4569800.15378346;5021862.50849865
20;4375461.81514094;4822892.48728532
21;4189585.57752069;4631632.75480407
22;4010905.26074092;4447963.70123818
23;3841141.90613539;4271999.11951360
24;3678486.22872633;4103759.00519238
25;3523336.48601244;3943039.76709715
26;3375442.75109402;3789488.39266853
27;3233982.38421062;3642672.25065460
28;3099051.46643516;3502218.33293392
29;2969791.07361409;3367738.72560245
30;2845892.06271814;3238975.66768739
31;2727808.42407384;3115567.78484889
32;2614493.71578407;2997240.59255314
33;2506464.91788176;2883736.69338304
34;2403214.04886346;2774779.42147073
35;2304287.40867778;2670216.08343319
36;2209742.61694098;2569807.09608130
37;2119458.33864252;2473394.31269693
38;2033308.01381925;2380831.22034350
39;1951038.52254487;2291979.84964275
40;1872365.25003986;2206718.77299960
41;1797338.84931701;2124929.10770869
42;1725674.70559680;2046480.15550526
43;1657297.20220399;1971267.39413305
44;1591967.29755683;1899188.11911419
45;1529824.46886239;1830135.08152487
46;1470313.85518133;1764022.84578174
47;1413665.35442836;1700763.97674522
48;1359573.01660082;1640263.76816225
49;1308102.58901901;1582430.60400302
50;1259082.95448506;1527189.77357653
51;1212360.55744734;1474461.56730129
52;1167982.85789203;1424159.91337150
53;1125686.86653792;1376203.19353837
54;1085554.29583828;1330525.05889140
55;1047375.85741367;1287036.52917943
56;1011053.22055879;1245668.89238006
57;976604.01948869;1206335.34957618
58;943810.11243201;1168965.00741135
59;912727.81276686;1133479.70141570
60;883234.55181333;1099799.35845205
61;855233.66794820;1067844.54160565
62;828689.52989742;1037544.99374251
63;803477.24677994;1008824.09550437
64;779631.28876920;981609.95375671
65;756984.02196907;955836.40136688
66;735611.57103627;931433.45386766
67;715326.05538331;908337.85257178
68;696150.11647148;886481.61256823
69;678017.28129263;865803.29294812
70;660860.49628829;846234.90880043
71;644662.05467463;827720.19988461
72;629342.05821803;810197.45262504
73;614872.49536701;793612.40633737
74;601183.48238045;777909.52789242
75;588250.12816470;763042.28216394
76;576024.42846766;748967.40602672
77;564475.61412398;735640.72746638
78;553565.47766774;723029.89002796
79;543262.74195206;711102.17370079
80;533527.71185089;699826.17636356
81;524323.48613646;689170.67767275
82;515643.42476481;679107.45661918
83;507449.50169197;669602.92974748
84;499717.47894336;660630.87560467
85;492400.22309232;652165.66351573
86;485485.54258278;644176.52758177
87;478955.51292454;636635.56490481
88;472777.69587017;629516.64492078
89;466939.86357919;622799.04495629
90;461411.35573942;616450.13588958
91;456185.20574739;610448.33160254
92;451245.73874528;604772.31864377
93;446558.99254115;599397.28433853
94;442130.11951881;594303.77845826
95;437929.11248516;589475.89544224
96;433936.08759279;584895.82106244
97;430127.89539890;580544.87764612
98;426484.25292773;576407.43229929
99;422991.98894460;572465.53446057
100;419626.93804369;568705.59623663
101;416380.50082384;565108.30373230
102;413249.88338678;561660.70527671
103;410222.49504810;558344.98664181
104;407291.69576387;555141.24315448
105;404454.51021384;552020.39036080
106;401697.69459455;548938.61980207
107;398990.29831866;545807.40567168
108;396282.10378612;542388.89167000
109;393499.01826622;538521.34096658
110;390816.80335914;535109.32552257
111;388244.27617242;532057.59375139
112;385765.10872916;529126.01713043
113;383369.21396807;526232.38663294
114;381063.19564871;523331.53046643
115;378858.26564853;520422.81240847
116;376770.96965080;517536.63480229
117;374779.89986358;514632.87019039
118;372773.69948444;511479.57005281
119;370273.55966196;506997.01948254
120;363095.16418334;488601.96582790
121;368664.92737806;460114.87933253
122;361533.88303244;459517.60280478
123;351140.40004961;455515.35472418
124;342280.98492284;450368.58793769
125;334244.46354730;443986.45897129
126;326811.60561983;437609.23800648
127;319941.48234502;431488.50556961
128;313544.03585919;425574.27275551
129;307527.14008823;419785.19398216
130;301825.31984480;414083.23223716
131;296407.82410574;408477.43096791
132;291267.34156583;403003.82763059
133;286407.46437999;397700.32290419
134;281830.07933668;392590.77512981
135;277516.84467516;387681.41019838
136;273440.87366015;382964.00266276
137;269555.23242918;378425.69174100
138;265809.30425385;374046.39098212
139;262141.93178959;369800.71965562
140;258504.47580745;365660.47947455
141;254857.69473628;361604.51604314
142;251183.46452173;357620.71841299
143;247480.38821466;353705.70097191
144;243758.87943589;349862.25855412
145;240046.02448488;346092.36799361
146;236368.14768882;342397.39262415
147;232753.85929167;338774.17405583
148;229221.22892121;335220.37189899
149;225784.62519710;331727.82887321
150;222450.21646617;328285.25203036
151;219213.32204171;324880.48497759
152;216068.89839307;321502.25748902
153;213004.06456071;318136.64083788
154;210006.41128218;314773.56907647
155;207063.81957019;311405.38481338
156;204165.71252414;308023.54449030
157;201301.78537640;304624.34438379
158;198469.35308187;301205.17143745
159;195657.49403823;297762.25376115
160;192862.12625126;294291.66040918
161;190076.95437875;290784.98415657
162;187293.68743688;287232.70438912
163;184502.65563489;283615.93893401
164;181686.22475772;279903.33111437
165;178816.41953830;276042.25624639
166;175837.56157539;271930.96418586
167;172617.90223766;267340.41485821
168;168968.43612140;262008.80273377
169;165652.38729338;257190.16766520
170;162871.95053417;253364.83486442
171;160148.22628138;249646.95548751
172;157434.82493843;245912.46616074
173;154736.53604521;242164.75249634
174;152060.31713410;238415.44827586
175;149410.84889180;234679.50472640
176;146792.83014723;230964.28385035
177;144206.23368708;227274.82998269
178;141651.24093333;223614.05156881
179;139129.23976401;219983.74366485
180;136639.29585600;216384.15621533
181;134184.14868097;212818.22038788
182;131764.38786032;209286.20884924
183;129382.70751023;205788.55332179
184;127041.04884574;202323.39058270
185;124741.60707262;198888.53929792
186;122483.26644579;195475.84218701
187;120265.12892653;192077.48280300
188;118087.04030615;188682.57719789
189;115941.89791471;185277.77606178
190;113824.79428804;181848.48036214
191;111727.26609146;178377.22806550
192;109640.50528852;174833.51457862
193;107555.38635438;171148.40065681
194;105467.77286820;167104.20734035
195;103499.81623939;162036.20716283
196;102505.49687295;157425.31007855
197;100772.79010683;154204.11591887
198;98888.42364864;151309.21297652
199;97046.94534309;148567.35561177
200;95233.91400174;145927.06661341
201;93450.11881013;143376.28047752
202;91700.36745035;140908.04420184
203;89993.07790160;138518.41547952
204;88334.07380898;136203.33839258
205;86726.89290080;133959.58638441
206;85174.56492391;131782.43323126
207;83677.34386904;129666.31198686
208;82235.11181192;127606.31464963
209;80847.66918838;125596.32893978
210;79513.19270769;123629.20871611
211;78230.75711780;121694.56991967
212;77001.79565225;119778.58607376
213;75831.93692752;117853.89961390
214;74750.80715058;115834.85909555
215;73721.66837340;113047.53454933
216;72801.60501745;110859.00892025
217;71414.86086849;108646.26139440
218;70002.68135996;106669.84777881
219;68653.35095583;104790.38991701
220;67363.65395177;102964.17023920
221;66129.23168506;101182.24754804
222;64948.28354269;99442.32689833
223;63818.04283968;97745.03315138
224;62736.66814308;96092.21816891
225;61701.61954538;94486.64838237
226;60711.05561363;92931.95934851
227;59761.30708857;91430.43465140
228;58850.72756586;89983.78981938
229;57976.24647875;88591.61017175
230;57135.93621884;87253.53215284
231;56327.11627660;85967.60165091
232;55549.41927254;84731.56348467
233;54800.27355031;83542.73643101
234;54079.70178764;82399.11525318
235;53386.29796432;81298.01872809
236;52719.06879507;80237.04397994
237;52076.45405099;79214.32778591
238;51459.02974682;78228.12621488
239;50865.04969615;77276.17272445
240;50293.86985100;76357.39936981
241;49745.19540067;75469.99973372
242;49217.47518736;74612.40030178
243;48710.74095991;73783.54449030
244;48223.01068334;72981.64860427
245;47754.48845738;72206.19003240
246;47304.34427653;71455.35667687
247;46871.48053789;70728.51799583
248;46455.13980476;70024.37882217
249;46055.05447974;69342.16091954
250;45669.51466081;68680.27941242
