Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4064.663086;414.159210;3900.000000;300.000000;164.663086;114.159210;200.365309;4033.000000;498.000000
2;4173.353027;402.487457;3915.600000;300.000000;257.753027;102.487457;277.381149;4143.000000;490.000000
3;4135.120605;412.313568;3931.200000;300.000000;203.920605;112.313568;232.804534;4104.000000;499.000000
4;4136.964844;390.971527;3946.800000;300.000000;190.164844;90.971527;210.804380;4107.000000;476.000000
5;4211.634766;393.583527;3962.300000;300.000000;249.334766;93.583527;266.318797;4182.000000;482.000000
6;4183.425781;386.370392;3977.900000;300.000000;205.525781;86.370392;222.936519;4154.000000;473.000000
7;4155.838867;428.144073;3993.500000;300.000000;162.338867;128.144073;206.820723;4124.000000;517.000000
8;4143.611328;385.161926;4009.100000;300.000000;134.511328;85.161926;159.203804;4114.000000;470.000000
9;4138.489258;419.578766;4024.700000;300.000000;113.789258;119.578766;165.066885;4107.000000;507.000000
10;4187.145996;381.600494;4040.300000;300.000000;146.845996;81.600494;167.995200;4158.000000;468.000000
11;4153.668457;294.141266;4055.800000;300.000000;97.868457;-5.858734;98.043662;4129.000000;372.000000
12;4166.093262;228.920471;4071.400000;300.000000;94.693262;-71.079529;118.402336;4145.000000;302.000000
13;4179.722168;242.255447;4087.000000;300.000000;92.722168;-57.744553;109.232934;4158.000000;317.000000
14;4208.529785;242.047119;4102.600000;300.000000;105.929785;-57.952881;120.746245;4187.000000;318.000000
15;4198.243652;291.463348;4118.200000;300.000000;80.043652;-8.536652;80.497582;4174.000000;371.000000
16;4212.668457;301.068329;4133.800000;300.000000;78.868457;1.068329;78.875692;4188.000000;382.000000
17;4213.233887;255.733521;4149.400000;300.000000;63.833887;-44.266479;77.680669;4191.000000;333.000000
18;4245.516602;246.141464;4164.900000;300.000000;80.616602;-53.858536;96.952454;4224.000000;324.000000
19;4270.709473;234.053772;4180.500000;300.000000;90.209473;-65.946228;111.743698;4250.000000;312.000000
20;4280.199707;300.262299;4196.100000;300.000000;84.099707;0.262299;84.100116;4256.000000;384.000000
21;4307.876953;278.829498;4211.700000;300.000000;96.176953;-21.170502;98.479421;4285.000000;362.000000
22;4363.384277;332.131500;4227.300000;300.000000;136.084277;32.131500;139.826192;4338.000000;422.000000
23;4348.830078;282.767242;4242.900000;300.000000;105.930078;-17.232758;107.322642;4326.000000;368.000000
24;4334.766602;242.631424;4258.400000;300.000000;76.366602;-57.368576;95.514456;4314.000000;324.000000
25;4344.174805;270.004242;4274.000000;300.000000;70.174805;-29.995758;76.316766;4322.000000;354.000000
26;4370.236328;311.517609;4289.600000;300.000000;80.636328;11.517609;81.454728;4346.000000;400.000000
27;4344.560059;295.881897;4305.200000;300.000000;39.360059;-4.118103;39.574903;4321.000000;382.000000
28;4388.840820;287.667236;4320.800000;300.000000;68.040820;-12.332764;69.149478;4366.000000;375.000000
29;4455.323242;304.472839;4336.400000;300.000000;118.923242;4.472839;119.007327;4432.000000;396.000000
30;4433.908203;294.217773;4351.900000;300.000000;82.008203;-5.782227;82.211797;4411.000000;384.000000
31;4446.832031;331.624237;4367.500000;300.000000;79.332031;31.624237;85.402948;4422.000000;425.000000
32;4457.806641;295.127533;4383.100000;300.000000;74.706641;-4.872467;74.865366;4435.000000;386.000000
33;4464.051270;300.430298;4398.700000;300.000000;65.351270;0.430298;65.352686;4441.000000;392.000000
34;4518.618164;242.799789;4414.300000;300.000000;104.318164;-57.200211;118.971187;4499.000000;332.000000
35;4473.213867;323.188782;4429.900000;300.000000;43.313867;23.188782;49.130547;4449.000000;417.000000
36;4493.087891;341.826965;4445.500000;300.000000;47.587891;41.826965;63.356944;4468.000000;438.000000
37;4513.216797;346.583954;4461.000000;300.000000;52.216797;46.583954;69.976129;4488.000000;444.000000
38;4509.617188;521.502686;4476.600000;300.000000;33.017187;221.502686;223.949937;4475.000000;633.000000
39;4506.045410;305.252380;4492.200000;300.000000;13.845410;5.252380;14.808203;4483.000000;399.000000
40;4501.358398;254.575363;4507.800000;300.000000;-6.441602;-45.424637;45.879101;4481.000000;344.000000
41;4552.243652;333.027588;4523.400000;300.000000;28.843652;33.027588;43.849491;4528.000000;431.000000
42;4530.681152;320.004333;4539.000000;300.000000;-8.318848;20.004333;21.665101;4507.000000;416.000000
43;4543.688477;284.352051;4554.500000;300.000000;-10.811523;-15.647949;19.019657;4522.000000;378.000000
44;4554.391113;298.727325;4570.100000;300.000000;-15.708887;-1.272675;15.760356;4532.000000;394.000000
45;4577.060547;276.566650;4585.700000;300.000000;-8.639453;-23.433350;24.975228;4556.000000;371.000000
46;4580.978516;275.488037;4601.300000;300.000000;-20.321484;-24.511963;31.840211;4560.000000;370.000000
47;4596.983887;296.127563;4616.900000;300.000000;-19.916113;-3.872437;20.289094;4575.000000;393.000000
48;4603.598145;252.404495;4632.500000;300.000000;-28.901855;-47.595505;55.683474;4584.000000;346.000000
49;4628.103027;227.397308;4648.100000;300.000000;-19.996973;-72.602692;75.306240;4610.000000;320.000000
50;4658.492188;238.224243;4663.600000;300.000000;-5.107813;-61.775757;61.986562;4640.000000;333.000000
51;4684.628418;225.174545;4679.200000;300.000000;5.428418;-74.825455;75.022106;4667.000000;320.000000
52;4631.094727;190.290024;4694.800000;300.000000;-63.705273;-109.709976;126.864655;4615.000000;280.000000
53;4658.697754;223.420135;4710.400000;300.000000;-51.702246;-76.579865;92.399123;4641.000000;317.000000
54;4699.593262;244.930435;4726.000000;300.000000;-26.406738;-55.069565;61.073503;4681.000000;342.000000
55;4760.371094;266.583710;4741.600000;300.000000;18.771094;-33.416290;38.327567;4741.000000;368.000000
56;4759.772949;274.005493;4757.100000;300.000000;2.672949;-25.994507;26.131572;4740.000000;376.000000
57;4748.259277;188.456940;4772.700000;300.000000;-24.440723;-111.543060;114.189331;4733.000000;283.000000
58;4784.884766;223.081650;4788.300000;300.000000;-3.415234;-76.918350;76.994132;4768.000000;322.000000
59;4794.251953;231.035980;4803.900000;300.000000;-9.648047;-68.964020;69.635629;4777.000000;331.000000
60;4846.253418;255.808426;4819.500000;300.000000;26.753418;-44.191574;51.658887;4828.000000;360.000000
61;4845.301758;275.265869;4835.100000;300.000000;10.201758;-24.734131;26.755431;4826.000000;381.000000
62;4888.287598;280.048584;4850.600000;300.000000;37.687598;-19.951416;42.642866;4869.000000;388.000000
63;4851.031738;214.932068;4866.200000;300.000000;-15.168262;-85.067932;86.409659;4835.000000;316.000000
64;4892.320313;243.824921;4881.800000;300.000000;10.520312;-56.175079;57.151697;4875.000000;349.000000
65;4903.031738;239.704575;4897.400000;300.000000;5.631738;-60.295425;60.557863;4886.000000;345.000000
66;4868.454102;280.828430;4913.000000;300.000000;-44.545898;-19.171570;48.496249;4849.000000;388.000000
67;4886.206543;278.280884;4928.600000;300.000000;-42.393457;-21.719116;47.633236;4867.000000;386.000000
68;4877.224121;296.204437;4944.200000;300.000000;-66.975879;-3.795563;67.083341;4857.000000;405.000000
69;4881.247559;278.476013;4959.700000;300.000000;-78.452441;-21.523987;81.351506;4862.000000;386.000000
70;4961.810059;298.426605;4975.300000;300.000000;-13.489941;-1.573395;13.581388;4942.000000;411.000000
71;4980.791016;318.949249;4990.900000;300.000000;-10.108984;18.949249;21.477095;4960.000000;434.000000
72;5002.442871;352.313354;5006.500000;300.000000;-4.057129;52.313354;52.470443;4980.000000;471.000000
73;4980.741699;318.026489;5022.100000;300.000000;-41.358301;18.026489;45.116110;4960.000000;433.000000
74;5001.452148;352.352570;5037.700000;300.000000;-36.247852;52.352570;63.676513;4979.000000;471.000000
75;5041.873047;327.644379;5053.200000;300.000000;-11.326953;27.644379;29.874932;5021.000000;446.000000
76;5026.555664;319.924042;5068.800000;300.000000;-42.244336;19.924042;46.707080;5006.000000;437.000000
77;4994.978027;305.445099;5084.400000;300.000000;-89.421973;5.445099;89.587601;4975.000000;420.000000
78;5035.816406;344.527893;5100.000000;300.000000;-64.183594;44.527893;78.117008;5014.000000;464.000000
79;5044.355957;318.299286;5115.600000;300.000000;-71.244043;18.299286;73.556628;5024.000000;436.000000
80;5042.832031;289.692047;5131.200000;300.000000;-88.367969;-10.307953;88.967139;5024.000000;405.000000
81;5061.403809;227.928238;5146.800000;300.000000;-85.396191;-72.071762;111.744568;5046.000000;339.000000
82;5089.342285;286.013550;5162.300000;300.000000;-72.957715;-13.986450;74.286263;5071.000000;403.000000
83;5094.800293;276.551361;5177.900000;300.000000;-83.099707;-23.448639;86.344658;5077.000000;393.000000
84;5131.763672;224.236542;5193.500000;300.000000;-61.736328;-75.763458;97.731652;5117.000000;338.000000
85;5129.206543;176.250549;5209.100000;300.000000;-79.893457;-123.749451;147.298646;5117.000000;286.000000
