Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4157.845688;451.284635;3900.000000;300.000000;257.845688;151.284635;298.950564;4033.000000;498.000000
2;4261.550188;441.400409;3915.600000;300.000000;345.950188;141.400409;373.732001;4143.000000;490.000000
3;4224.827099;451.079106;3931.200000;300.000000;293.627099;151.079106;330.214732;4104.000000;499.000000
4;4227.635908;427.916980;3946.800000;300.000000;280.835908;127.916980;308.596113;4107.000000;476.000000
5;4298.236370;432.742560;3962.300000;300.000000;335.936370;132.742560;361.211617;4182.000000;482.000000
6;4271.903086;424.146259;3977.900000;300.000000;294.003086;124.146259;319.139637;4154.000000;473.000000
7;4243.650627;468.772817;3993.500000;300.000000;250.150627;168.772817;301.760832;4124.000000;517.000000
8;4234.226418;421.764135;4009.100000;300.000000;225.126418;121.764135;255.946105;4114.000000;470.000000
9;4227.653074;459.050703;4024.700000;300.000000;202.953074;159.050703;257.850880;4107.000000;507.000000
10;4275.665903;419.054353;4040.300000;300.000000;235.365903;119.054353;263.763241;4158.000000;468.000000
11;4248.025417;322.236907;4055.800000;300.000000;192.225417;22.236907;193.507341;4129.000000;372.000000
12;4262.629509;250.351024;4071.400000;300.000000;191.229509;-49.648976;197.569598;4145.000000;302.000000
13;4275.044060;265.614009;4087.000000;300.000000;188.044060;-34.385991;191.162143;4158.000000;317.000000
14;4302.437782;266.306448;4102.600000;300.000000;199.837782;-33.693552;202.658320;4187.000000;318.000000
15;4290.487146;320.628619;4118.200000;300.000000;172.287146;20.628619;173.517725;4174.000000;371.000000
16;4303.732109;331.640267;4133.800000;300.000000;169.932109;31.640267;172.852620;4188.000000;382.000000
17;4306.311750;281.623542;4149.400000;300.000000;156.911750;-18.376458;157.984150;4191.000000;333.000000
18;4337.372589;272.031569;4164.900000;300.000000;172.472589;-27.968431;174.725577;4224.000000;324.000000
19;4361.797857;259.455729;4180.500000;300.000000;181.297857;-40.544271;185.776078;4250.000000;312.000000
20;4367.730474;332.789648;4196.100000;300.000000;171.630474;32.789648;174.734601;4256.000000;384.000000
21;4394.930220;310.085034;4211.700000;300.000000;183.230220;10.085034;183.507551;4285.000000;362.000000
22;4444.656658;370.136869;4227.300000;300.000000;217.356658;70.136869;228.392419;4338.000000;422.000000
23;4433.427000;315.689492;4242.900000;300.000000;190.527000;15.689492;191.171907;4326.000000;368.000000
24;4422.055721;271.035719;4258.400000;300.000000;163.655721;-28.964281;166.199051;4314.000000;324.000000
25;4429.652166;301.514482;4274.000000;300.000000;155.652166;1.514482;155.659534;4322.000000;354.000000
