Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;0.477141;0.184080;0.500000;0.000000;-0.022859;0.184080;0.185494;0.515959;0.346471
2;0.492137;0.182056;0.502167;0.000000;-0.010030;0.182056;0.182332;0.528866;0.345440
3;0.486788;0.183808;0.504333;0.000000;-0.017545;0.183808;0.184643;0.524290;0.346600
4;0.487289;0.179985;0.506500;0.000000;-0.019211;0.179985;0.181007;0.524642;0.343637
5;0.497489;0.180489;0.508653;0.000000;-0.011164;0.180489;0.180834;0.533443;0.344410
6;0.493705;0.179202;0.510819;0.000000;-0.017115;0.179202;0.180018;0.530157;0.343251
7;0.489436;0.186772;0.512986;0.000000;-0.023550;0.186772;0.188251;0.526637;0.348918
8;0.488266;0.178974;0.515153;0.000000;-0.026887;0.178974;0.180982;0.525464;0.342865
9;0.487163;0.185149;0.517319;0.000000;-0.030156;0.185149;0.187589;0.524642;0.347630
10;0.494270;0.178374;0.519486;0.000000;-0.025216;0.178374;0.180147;0.530627;0.342607
11;0.490660;0.164542;0.521639;0.000000;-0.030979;0.164542;0.167433;0.527224;0.330242
12;0.493054;0.155785;0.523806;0.000000;-0.030752;0.155785;0.158791;0.529101;0.321226
13;0.494783;0.157441;0.525972;0.000000;-0.031189;0.157441;0.160501;0.530627;0.323158
14;0.498737;0.157357;0.528139;0.000000;-0.029402;0.157357;0.160080;0.534030;0.323287
15;0.496799;0.164104;0.530306;0.000000;-0.033506;0.164104;0.167490;0.532504;0.330113
16;0.498674;0.165484;0.532472;0.000000;-0.033798;0.165484;0.168900;0.534147;0.331530
17;0.499239;0.159139;0.534639;0.000000;-0.035400;0.159139;0.163029;0.534499;0.325219
18;0.503774;0.157815;0.536792;0.000000;-0.033017;0.157815;0.161232;0.538371;0.324060
19;0.507365;0.156205;0.538958;0.000000;-0.031593;0.156205;0.159368;0.541422;0.322514
20;0.507962;0.165296;0.541125;0.000000;-0.033163;0.165296;0.168590;0.542126;0.331788
21;0.512005;0.162161;0.543292;0.000000;-0.031287;0.162161;0.165152;0.545529;0.328954
22;0.519068;0.170139;0.545458;0.000000;-0.026390;0.170139;0.172174;0.551748;0.336682
23;0.517606;0.162669;0.547625;0.000000;-0.030019;0.162669;0.165416;0.550340;0.329727
24;0.516096;0.157184;0.549778;0.000000;-0.033682;0.157184;0.160752;0.548932;0.324060
25;0.517102;0.160870;0.551944;0.000000;-0.034843;0.160870;0.164600;0.549871;0.327924
26;0.520243;0.166911;0.554111;0.000000;-0.033868;0.166911;0.170312;0.552687;0.333849
27;0.516874;0.164583;0.556278;0.000000;-0.039404;0.164583;0.169235;0.549754;0.331530
28;0.523073;0.163330;0.558444;0.000000;-0.035372;0.163330;0.167116;0.555034;0.330629
29;0.532076;0.165769;0.560611;0.000000;-0.028535;0.165769;0.168207;0.562779;0.333333
30;0.529227;0.164246;0.562764;0.000000;-0.033537;0.164246;0.167634;0.560314;0.331788
31;0.530598;0.170027;0.564931;0.000000;-0.034332;0.170027;0.173459;0.561605;0.337069
32;0.532522;0.164357;0.567097;0.000000;-0.034575;0.164357;0.167955;0.563131;0.332045
33;0.533328;0.165148;0.569264;0.000000;-0.035936;0.165148;0.169013;0.563835;0.332818
34;0.541508;0.156863;0.571431;0.000000;-0.029922;0.156863;0.159691;0.570641;0.325090
35;0.534343;0.168668;0.573597;0.000000;-0.039255;0.168668;0.173175;0.564774;0.336038
36;0.536883;0.171681;0.575764;0.000000;-0.038881;0.171681;0.176029;0.567003;0.338743
37;0.539616;0.172471;0.577917;0.000000;-0.038300;0.172471;0.176672;0.569350;0.339516
38;0.536994;0.207046;0.580083;0.000000;-0.043090;0.207046;0.211483;0.567824;0.363859
39;0.539088;0.165848;0.582250;0.000000;-0.043162;0.165848;0.171372;0.568763;0.333720
40;0.538991;0.158490;0.584417;0.000000;-0.045426;0.158490;0.164872;0.568529;0.326636
41;0.545179;0.170224;0.586583;0.000000;-0.041404;0.170224;0.175187;0.574044;0.337841
42;0.542337;0.168135;0.588750;0.000000;-0.046413;0.168135;0.174423;0.571579;0.335909
43;0.544535;0.162670;0.590903;0.000000;-0.046368;0.162670;0.169149;0.573340;0.331015
44;0.545861;0.164812;0.593069;0.000000;-0.047208;0.164812;0.171440;0.574513;0.333076
45;0.549250;0.161491;0.595236;0.000000;-0.045986;0.161491;0.167911;0.577329;0.330113
46;0.549805;0.161330;0.597403;0.000000;-0.047598;0.161330;0.168205;0.577799;0.329985
47;0.551800;0.164380;0.599569;0.000000;-0.047769;0.164380;0.171180;0.579559;0.332947
48;0.553195;0.158026;0.601736;0.000000;-0.048541;0.158026;0.165313;0.580615;0.326893
49;0.556866;0.154612;0.603903;0.000000;-0.047037;0.154612;0.161609;0.583666;0.323545
50;0.560976;0.155995;0.606056;0.000000;-0.045080;0.155995;0.162378;0.587186;0.325219
51;0.564750;0.154208;0.608222;0.000000;-0.043472;0.154208;0.160219;0.590354;0.323545
52;0.557670;0.149938;0.610389;0.000000;-0.052719;0.149938;0.158937;0.584253;0.318393
53;0.561161;0.154030;0.612556;0.000000;-0.051394;0.154030;0.162378;0.587303;0.323158
54;0.566622;0.156838;0.614722;0.000000;-0.048100;0.156838;0.164049;0.591997;0.326378
55;0.574851;0.159814;0.616889;0.000000;-0.042038;0.159814;0.165251;0.599038;0.329727
56;0.574687;0.160903;0.619042;0.000000;-0.044355;0.160903;0.166904;0.598920;0.330757
57;0.573994;0.149419;0.621208;0.000000;-0.047214;0.149419;0.156701;0.598099;0.318779
58;0.578736;0.153735;0.623375;0.000000;-0.044639;0.153735;0.160084;0.602206;0.323802
59;0.579957;0.154780;0.625542;0.000000;-0.045585;0.154780;0.161353;0.603262;0.324961
60;0.586944;0.158146;0.627708;0.000000;-0.040765;0.158146;0.163315;0.609247;0.328697
61;0.586598;0.160998;0.629875;0.000000;-0.043277;0.160998;0.166713;0.609012;0.331401
62;0.592545;0.161677;0.632028;0.000000;-0.039483;0.161677;0.166428;0.614058;0.332303
63;0.588049;0.152530;0.634194;0.000000;-0.046145;0.152530;0.159357;0.610068;0.323029
64;0.593504;0.156378;0.636361;0.000000;-0.042857;0.156378;0.162144;0.614762;0.327280
65;0.595045;0.155784;0.638528;0.000000;-0.043483;0.155784;0.161739;0.616053;0.326765
66;0.589768;0.161814;0.640694;0.000000;-0.050927;0.161814;0.169639;0.611711;0.332303
67;0.592274;0.161411;0.642861;0.000000;-0.050587;0.161411;0.169153;0.613823;0.332045
68;0.590820;0.164181;0.645028;0.000000;-0.054207;0.164181;0.172898;0.612650;0.334493
69;0.591579;0.161445;0.647181;0.000000;-0.055601;0.161445;0.170752;0.613236;0.332045
70;0.602609;0.164483;0.649347;0.000000;-0.046738;0.164483;0.170994;0.622624;0.335265
71;0.605029;0.167818;0.651514;0.000000;-0.046485;0.167818;0.174137;0.624736;0.338228
72;0.607670;0.173570;0.653681;0.000000;-0.046011;0.173570;0.179565;0.627083;0.342993
73;0.605033;0.167664;0.655847;0.000000;-0.050814;0.167664;0.175195;0.624736;0.338099
74;0.607531;0.173577;0.658014;0.000000;-0.050483;0.173577;0.180769;0.626966;0.342993
75;0.613469;0.169280;0.660167;0.000000;-0.046697;0.169280;0.175603;0.631894;0.339773
76;0.611416;0.167975;0.662333;0.000000;-0.050917;0.167975;0.175523;0.630134;0.338614
77;0.607166;0.165595;0.664500;0.000000;-0.057334;0.165595;0.175240;0.626496;0.336425
78;0.612427;0.172205;0.666667;0.000000;-0.054240;0.172205;0.180545;0.631073;0.342092
79;0.613924;0.167701;0.668833;0.000000;-0.054909;0.167701;0.176462;0.632246;0.338485
80;0.614035;0.163052;0.671000;0.000000;-0.056965;0.163052;0.172716;0.632246;0.334493
81;0.617312;0.153891;0.673167;0.000000;-0.055855;0.153891;0.163714;0.634828;0.325992
82;0.620583;0.162443;0.675319;0.000000;-0.054736;0.162443;0.171417;0.637761;0.334235
83;0.621453;0.160964;0.677486;0.000000;-0.056033;0.160964;0.170438;0.638465;0.332947
84;0.627199;0.153263;0.679653;0.000000;-0.052453;0.153263;0.161991;0.643159;0.325863
85;0.627350;0.146974;0.681819;0.000000;-0.054470;0.146974;0.156743;0.643159;0.319165
86;0.630563;0.157997;0.683986;0.000000;-0.053423;0.157997;0.166784;0.646092;0.330629
87;0.630563;0.157997;0.686153;0.000000;-0.055589;0.157997;0.167491;0.646092;0.330629
88;0.634762;0.156968;0.688306;0.000000;-0.053544;0.156968;0.165849;0.649613;0.329856
89;0.635972;0.158700;0.690472;0.000000;-0.054500;0.158700;0.167797;0.650669;0.331530
90;0.637424;0.167832;0.692639;0.000000;-0.055215;0.167832;0.176681;0.652077;0.339516
91;0.637529;0.169255;0.694806;0.000000;-0.057276;0.169255;0.178684;0.652194;0.340675
92;0.641524;0.159271;0.696972;0.000000;-0.055448;0.159271;0.168646;0.655363;0.332303
93;0.644244;0.156090;0.699139;0.000000;-0.054895;0.156090;0.165461;0.657592;0.329469
94;0.644510;0.162455;0.701306;0.000000;-0.056796;0.162455;0.172097;0.657944;0.335265
95;0.650921;0.173741;0.703458;0.000000;-0.052538;0.173741;0.181510;0.663577;0.344668
96;0.650226;0.162030;0.705625;0.000000;-0.055399;0.162030;0.171239;0.662755;0.335137
97;0.647575;0.156469;0.707792;0.000000;-0.060216;0.156469;0.167656;0.660408;0.329985
98;0.651768;0.155715;0.709958;0.000000;-0.058190;0.155715;0.166233;0.663929;0.329469
99;0.651852;0.169712;0.712125;0.000000;-0.060273;0.169712;0.180098;0.664281;0.341577
100;0.652856;0.162647;0.714292;0.000000;-0.061436;0.162647;0.173863;0.664985;0.335781
101;0.662628;0.173033;0.716444;0.000000;-0.053816;0.173033;0.181209;0.673433;0.344539
102;0.664633;0.158996;0.718611;0.000000;-0.053978;0.158996;0.167909;0.674842;0.333076
103;0.667680;0.165458;0.720778;0.000000;-0.053098;0.165458;0.173769;0.677540;0.338743
104;0.666026;0.158928;0.722944;0.000000;-0.056918;0.158928;0.168813;0.676015;0.333076
105;0.666646;0.162133;0.725111;0.000000;-0.058465;0.162133;0.172352;0.676602;0.335909
106;0.671196;0.175573;0.727278;0.000000;-0.056082;0.175573;0.184312;0.680709;0.346728
107;0.670307;0.172003;0.729431;0.000000;-0.059124;0.172003;0.181881;0.679887;0.344024
108;0.663764;0.154577;0.731597;0.000000;-0.067833;0.154577;0.168806;0.674020;0.328954
109;0.676328;0.170384;0.733764;0.000000;-0.057436;0.170384;0.179804;0.684933;0.342993
110;0.679733;0.161805;0.735931;0.000000;-0.056198;0.161805;0.171287;0.687632;0.336167
111;0.679984;0.157101;0.738097;0.000000;-0.058113;0.157101;0.167505;0.687749;0.332045
112;0.655920;0.139220;0.740264;0.000000;-0.084344;0.139220;0.162776;0.667097;0.311695
113;0.712392;0.202471;0.742431;0.000000;-0.030039;0.202471;0.204687;0.716029;0.365404
114;0.700665;0.164371;0.744583;0.000000;-0.043918;0.164371;0.170137;0.705351;0.339129
115;0.699999;0.174798;0.746750;0.000000;-0.046751;0.174798;0.180942;0.704999;0.347115
116;0.694961;0.164640;0.748917;0.000000;-0.053956;0.164640;0.173256;0.700540;0.339129
117;0.698380;0.172770;0.751083;0.000000;-0.052703;0.172770;0.180630;0.703591;0.345569
