Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4098.465546;394.429362;3900.000000;300.000000;198.465546;94.429362;219.785071;4033.000000;498.000000
2;4201.284696;379.633570;3915.600000;300.000000;285.684696;79.633570;296.575878;4143.000000;490.000000
3;4164.082889;389.576749;3931.200000;300.000000;232.882889;89.576749;249.516400;4104.000000;499.000000
4;4169.650862;371.810613;3946.800000;300.000000;222.850862;71.810613;234.135155;4107.000000;476.000000
5;4238.365147;370.452414;3962.300000;300.000000;276.065147;70.452414;284.913159;4182.000000;482.000000
6;4213.532047;365.807432;3977.900000;300.000000;235.632047;65.807432;244.648890;4154.000000;473.000000
7;4180.416903;401.713736;3993.500000;300.000000;186.916903;101.713736;212.799466;4124.000000;517.000000
8;4176.860399;366.684179;4009.100000;300.000000;167.760399;66.684179;180.527923;4114.000000;470.000000
9;4165.889957;395.436733;4024.700000;300.000000;141.189957;95.436733;170.419406;4107.000000;507.000000
10;4217.842301;361.680511;4040.300000;300.000000;177.542301;61.680511;187.951467;4158.000000;468.000000
11;4202.638879;290.808899;4055.800000;300.000000;146.838879;-9.191101;147.126248;4129.000000;372.000000
12;4214.326703;237.885818;4071.400000;300.000000;142.926703;-62.114182;155.840348;4145.000000;302.000000
13;4231.060768;247.340980;4087.000000;300.000000;144.060768;-52.659020;153.383432;4158.000000;317.000000
14;4262.892326;245.067023;4102.600000;300.000000;160.292326;-54.932977;169.443978;4187.000000;318.000000
15;4244.425485;286.488214;4118.200000;300.000000;126.225485;-13.511786;126.946609;4174.000000;371.000000
16;4256.053084;293.764637;4133.800000;300.000000;122.253084;-6.235363;122.411994;4188.000000;382.000000
17;4264.775696;256.182772;4149.400000;300.000000;115.375696;-43.817228;123.415966;4191.000000;333.000000
18;4296.422236;246.714020;4164.900000;300.000000;131.522236;-53.285980;141.906639;4224.000000;324.000000
19;4321.951454;235.512390;4180.500000;300.000000;141.451454;-64.487610;155.457923;4250.000000;312.000000
20;4318.771274;289.911538;4196.100000;300.000000;122.671274;-10.088462;123.085412;4256.000000;384.000000
21;4348.291536;270.851267;4211.700000;300.000000;136.591536;-29.148733;139.667091;4285.000000;362.000000
22;4390.084430;312.388199;4227.300000;300.000000;162.784430;12.388199;163.255132;4338.000000;422.000000
23;4385.525238;272.181825;4242.900000;300.000000;142.625238;-27.818175;145.312799;4326.000000;368.000000
24;4379.752864;239.596971;4258.400000;300.000000;121.352864;-60.403029;135.554577;4314.000000;324.000000
25;4383.519863;261.828284;4274.000000;300.000000;109.519863;-38.171716;115.981379;4322.000000;354.000000
26;4400.160576;294.988514;4289.600000;300.000000;110.560576;-5.011486;110.674098;4346.000000;400.000000
27;4379.197032;283.247191;4305.200000;300.000000;73.997032;-16.752809;75.869740;4321.000000;382.000000
28;4421.711458;274.353723;4320.800000;300.000000;100.911458;-25.646277;104.119421;4366.000000;375.000000
29;4480.273035;285.139259;4336.400000;300.000000;143.873035;-14.860741;144.638486;4432.000000;396.000000
30;4462.284946;277.654373;4351.900000;300.000000;110.384946;-22.345627;112.623991;4411.000000;384.000000
31;4467.495395;308.032015;4367.500000;300.000000;99.995395;8.032015;100.317458;4422.000000;425.000000
32;4484.263819;277.280711;4383.100000;300.000000;101.163819;-22.719289;103.683578;4435.000000;386.000000
33;4489.091267;281.379067;4398.700000;300.000000;90.391267;-18.620933;92.289329;4441.000000;392.000000
34;4550.072597;231.064500;4414.300000;300.000000;135.772597;-68.935500;152.270487;4499.000000;332.000000
35;4493.465311;299.799712;4429.900000;300.000000;63.565311;-0.200288;63.565627;4449.000000;417.000000
36;4508.509192;314.302176;4445.500000;300.000000;63.009192;14.302176;64.612000;4468.000000;438.000000
37;4526.299298;317.293228;4461.000000;300.000000;65.299298;17.293228;67.550381;4488.000000;444.000000
38;4491.331837;462.364556;4476.600000;300.000000;14.731837;162.364556;163.031519;4475.000000;633.000000
39;4527.129479;283.392700;4492.200000;300.000000;34.929479;-16.607300;38.676491;4483.000000;399.000000
40;4531.950704;241.633530;4507.800000;300.000000;24.150704;-58.366470;63.165666;4481.000000;344.000000
41;4564.912271;304.222456;4523.400000;300.000000;41.512271;4.222456;41.726464;4528.000000;431.000000
42;4547.288384;294.451040;4539.000000;300.000000;8.288384;-5.548960;9.974380;4507.000000;416.000000
43;4565.787184;264.303771;4554.500000;300.000000;11.287184;-35.696229;37.438233;4522.000000;378.000000
44;4573.104918;275.707115;4570.100000;300.000000;3.004918;-24.292885;24.478026;4532.000000;394.000000
