Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4220.839213;386.580705;3900.000000;300.000000;320.839213;86.580705;332.316144;4033.000000;498.000000
2;4328.426949;378.616585;3915.600000;300.000000;412.826949;78.616585;420.245948;4143.000000;490.000000
3;4291.496769;384.728666;3931.200000;300.000000;360.296769;84.728666;370.125260;4104.000000;499.000000
4;4290.045928;372.475199;3946.800000;300.000000;343.245928;72.475199;350.813941;4107.000000;476.000000
5;4365.439589;373.111774;3962.300000;300.000000;403.139589;73.111774;409.715584;4182.000000;482.000000
6;4335.936896;369.376356;3977.900000;300.000000;358.036896;69.376356;364.696446;4154.000000;473.000000
7;4314.746780;393.841228;3993.500000;300.000000;321.246780;93.841228;334.672481;4124.000000;517.000000
8;4295.792047;369.143950;4009.100000;300.000000;286.692047;69.143950;294.912217;4114.000000;470.000000
9;4295.983029;388.951730;4024.700000;300.000000;271.283029;88.951730;285.494119;4107.000000;507.000000
10;4338.880196;366.678817;4040.300000;300.000000;298.580196;66.678817;305.934958;4158.000000;468.000000
11;4290.037500;321.820528;4055.800000;300.000000;234.237500;21.820528;235.251657;4129.000000;372.000000
12;4289.636542;291.972225;4071.400000;300.000000;218.236542;-8.027775;218.384142;4145.000000;302.000000
13;4305.783075;297.647227;4087.000000;300.000000;218.783075;-2.352773;218.795725;4158.000000;317.000000
14;4334.187589;297.255538;4102.600000;300.000000;231.587589;-2.744462;231.603851;4187.000000;318.000000
15;4333.798494;320.063614;4118.200000;300.000000;215.598494;20.063614;216.530043;4174.000000;371.000000
16;4349.963568;324.540809;4133.800000;300.000000;216.163568;24.540809;217.552153;4188.000000;382.000000
17;4341.618771;303.305959;4149.400000;300.000000;192.218771;3.305959;192.247199;4191.000000;333.000000
18;4371.559893;298.673272;4164.900000;300.000000;206.659893;-1.326728;206.664152;4224.000000;324.000000
19;4393.883260;293.096909;4180.500000;300.000000;213.383260;-6.903091;213.494890;4250.000000;312.000000
20;4416.907412;323.406696;4196.100000;300.000000;220.807412;23.406696;222.044560;4256.000000;384.000000
21;4440.027509;312.885460;4211.700000;300.000000;228.327509;12.885460;228.690810;4285.000000;362.000000
22;4505.979816;338.317674;4227.300000;300.000000;278.679816;38.317674;281.301767;4338.000000;422.000000
23;4481.429169;314.271947;4242.900000;300.000000;238.529169;14.271947;238.955755;4326.000000;368.000000
24;4458.933232;296.148789;4258.400000;300.000000;200.533232;-3.851211;200.570209;4314.000000;324.000000
25;4474.123493;308.378313;4274.000000;300.000000;200.123493;8.378313;200.298799;4322.000000;354.000000
26;4508.634893;327.887126;4289.600000;300.000000;219.034893;27.887126;220.803026;4346.000000;400.000000
27;4479.923031;320.563001;4305.200000;300.000000;174.723031;20.563001;175.928890;4321.000000;382.000000
28;4522.115717;316.127961;4320.800000;300.000000;201.315717;16.127961;201.960711;4366.000000;375.000000
29;4591.632177;323.425370;4336.400000;300.000000;255.232177;23.425370;256.304921;4432.000000;396.000000
30;4568.186905;318.723627;4351.900000;300.000000;216.286905;18.723627;217.095831;4411.000000;384.000000
31;4588.939889;337.062828;4367.500000;300.000000;221.439889;37.062828;224.520105;4422.000000;425.000000
32;4592.069310;318.875606;4383.100000;300.000000;208.969310;18.875606;209.820068;4435.000000;386.000000
33;4599.413234;321.357102;4398.700000;300.000000;200.713234;21.357102;201.846298;4441.000000;392.000000
