Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4149.134531;438.041865;3900.000000;300.000000;249.134531;138.041865;284.821999;4033.000000;498.000000
2;4256.816040;425.454672;3915.600000;300.000000;341.216040;125.454672;363.548154;4143.000000;490.000000
3;4219.489115;433.138222;3931.200000;300.000000;288.289115;133.138222;317.547477;4104.000000;499.000000
4;4219.425649;421.065023;3946.800000;300.000000;272.625649;121.065023;298.297643;4107.000000;476.000000
5;4294.205199;418.330783;3962.300000;300.000000;331.905199;118.330783;352.368039;4182.000000;482.000000
6;4265.390455;415.932025;3977.900000;300.000000;287.490455;115.932025;309.985477;4154.000000;473.000000
7;4241.631418;441.155868;3993.500000;300.000000;248.131418;141.155868;285.471855;4124.000000;517.000000
8;4225.541609;417.504973;4009.100000;300.000000;216.441609;117.504973;246.281118;4114.000000;470.000000
9;4223.505895;437.123333;4024.700000;300.000000;198.805895;137.123333;241.508990;4107.000000;507.000000
10;4268.661070;413.114214;4040.300000;300.000000;228.361070;113.114214;254.840350;4158.000000;468.000000
11;4227.299019;370.755910;4055.800000;300.000000;171.499019;70.755910;185.521731;4129.000000;372.000000
12;4233.660741;341.084177;4071.400000;300.000000;162.260741;41.084177;167.381175;4145.000000;302.000000
13;4248.350534;345.907300;4087.000000;300.000000;161.350534;45.907300;167.754210;4158.000000;317.000000
14;4276.798807;344.070422;4102.600000;300.000000;174.198807;44.070422;179.687024;4187.000000;318.000000
15;4271.273102;366.864816;4118.200000;300.000000;153.073102;66.864816;167.039750;4174.000000;371.000000
16;4286.485080;370.548002;4133.800000;300.000000;152.685080;70.548002;168.195584;4188.000000;382.000000
17;4282.742521;349.737104;4149.400000;300.000000;133.342521;49.737104;142.316575;4191.000000;333.000000
18;4313.721792;343.584532;4164.900000;300.000000;148.821792;43.584532;155.072683;4224.000000;324.000000
19;4337.398239;336.851407;4180.500000;300.000000;156.898239;36.851407;161.167873;4250.000000;312.000000
20;4353.341407;366.145041;4196.100000;300.000000;157.241407;66.145041;170.587299;4256.000000;384.000000
21;4378.572743;354.414072;4211.700000;300.000000;166.872743;54.414072;175.520379;4285.000000;362.000000
22;4438.975293;376.882135;4227.300000;300.000000;211.675293;76.882135;225.205001;4338.000000;422.000000
23;4419.438474;353.751520;4242.900000;300.000000;176.538474;53.751520;184.540128;4326.000000;368.000000
24;4401.402931;336.579249;4258.400000;300.000000;143.002931;36.579249;147.607181;4314.000000;324.000000
25;4413.516024;348.159163;4274.000000;300.000000;139.516024;48.159163;147.594125;4322.000000;354.000000
26;4443.600155;366.192927;4289.600000;300.000000;154.000155;66.192927;167.623242;4346.000000;400.000000
27;4416.580811;360.186603;4305.200000;300.000000;111.380811;60.186603;126.602181;4321.000000;382.000000
28;4459.456261;353.608045;4320.800000;300.000000;138.656261;53.608045;148.658606;4366.000000;375.000000
29;4526.870299;357.599627;4336.400000;300.000000;190.470299;57.599627;198.989075;4432.000000;396.000000
30;4504.624272;353.962201;4351.900000;300.000000;152.724272;53.962201;161.977228;4411.000000;384.000000
31;4521.471850;371.639128;4367.500000;300.000000;153.971850;71.639128;169.821951;4422.000000;425.000000
32;4528.283669;352.934770;4383.100000;300.000000;145.183669;52.934770;154.532804;4435.000000;386.000000
33;4535.027679;355.105189;4398.700000;300.000000;136.327679;55.105189;147.043592;4441.000000;392.000000
34;4582.119448;325.148356;4414.300000;300.000000;167.819448;25.148356;169.693273;4499.000000;332.000000
35;4546.593238;365.777665;4429.900000;300.000000;116.693238;65.777665;133.955265;4449.000000;417.000000
36;4568.285119;374.115355;4445.500000;300.000000;122.785119;74.115355;143.419912;4468.000000;438.000000
37;4588.688164;375.393312;4461.000000;300.000000;127.688164;75.393312;148.284924;4488.000000;444.000000
38;4603.881861;481.552309;4476.600000;300.000000;127.281861;181.552309;221.724859;4475.000000;633.000000
39;4576.941801;354.879716;4492.200000;300.000000;84.741801;54.879716;100.960171;4483.000000;399.000000
40;4566.546509;331.452075;4507.800000;300.000000;58.746509;31.452075;66.636217;4481.000000;344.000000
41;4625.622169;365.995835;4523.400000;300.000000;102.222169;65.995835;121.675067;4528.000000;431.000000
42;4602.887277;360.686637;4539.000000;300.000000;63.887277;60.686637;88.116128;4507.000000;416.000000
43;4611.556406;342.505054;4554.500000;300.000000;57.056406;42.505054;71.148528;4522.000000;378.000000
44;4623.751116;348.726497;4570.100000;300.000000;53.651116;48.726497;72.475608;4532.000000;394.000000
45;4643.392891;336.762197;4585.700000;300.000000;57.692891;36.762197;68.410005;4556.000000;371.000000
46;4647.106083;336.012840;4601.300000;300.000000;45.806083;36.012840;58.267675;4560.000000;370.000000
47;4665.271022;344.827267;4616.900000;300.000000;48.371022;44.827267;65.948765;4575.000000;393.000000
48;4666.479991;324.021824;4632.500000;300.000000;33.979991;24.021824;41.613553;4584.000000;346.000000
49;4687.354008;311.474197;4648.100000;300.000000;39.254008;11.474197;40.896630;4610.000000;320.000000
50;4718.352532;314.220640;4663.600000;300.000000;54.752532;14.220640;56.569129;4640.000000;333.000000
51;4742.171146;306.867210;4679.200000;300.000000;62.971146;6.867210;63.344485;4667.000000;320.000000
52;4685.650793;295.867479;4694.800000;300.000000;-9.149207;-4.132521;10.039208;4615.000000;280.000000
53;4716.689835;307.794894;4710.400000;300.000000;6.289835;7.794894;10.016107;4641.000000;317.000000
54;4759.274987;314.543735;4726.000000;300.000000;33.274987;14.543735;36.314528;4681.000000;342.000000
55;4821.280203;320.501710;4741.600000;300.000000;79.680203;20.501710;82.275482;4741.000000;368.000000
56;4821.668002;324.013226;4757.100000;300.000000;64.568002;24.013226;68.888765;4740.000000;376.000000
