Epoch;TrainMSE;TestMSE
1;0.03394765377238985;0.04554917219501675
2;0.03165632936311301;0.043517806370968415
3;0.03139791479692455;0.043264469706583125
4;0.029375645528176658;0.0412007240725755
5;0.027090331313227505;0.03918434549032946
6;0.02552903464972406;0.037875436230854466
7;0.02460509757562386;0.03753389343199419
8;0.02417856193485574;0.037304306656660506
9;0.024195390046429583;0.03763003876866013
10;0.024236070778816683;0.03802869181623896
11;0.024141138256321644;0.03823033834230628
12;0.02408004578803505;0.0384491011490439
13;0.02404284270677387;0.03868248552296909
14;0.023991225107630708;0.03890427936595771
15;0.023909022345413734;0.03915267806869369
16;0.02384113029059737;0.03932696942487823
17;0.023825366236457576;0.039522410317298515
18;0.02387337642137311;0.0397358369833619
19;0.023855283119557563;0.03992416753605129
20;0.023868901757082367;0.04009927421119164
21;0.023853416693611254;0.040262711803070776
22;0.023851811956586734;0.040417625113375384
23;0.023843952638059634;0.04058578667953668
