Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4043.741792;423.913432;3900.000000;300.000000;143.741792;123.913432;189.779455;4033.000000;498.000000
2;4149.483109;405.651237;3915.600000;300.000000;233.883109;105.651237;256.638837;4143.000000;490.000000
3;4111.091327;417.548977;3931.200000;300.000000;179.891327;117.548977;214.892186;4104.000000;499.000000
4;4117.308613;397.006631;3946.800000;300.000000;170.508613;97.006631;196.172051;4107.000000;476.000000
5;4187.728835;394.633295;3962.300000;300.000000;225.428835;94.633295;244.486441;4182.000000;482.000000
6;4162.427680;389.571665;3977.900000;300.000000;184.527680;89.571665;205.118375;4154.000000;473.000000
7;4127.470461;431.345348;3993.500000;300.000000;133.970461;131.345348;187.615790;4124.000000;517.000000
8;4124.840861;391.013434;4009.100000;300.000000;115.740861;91.013434;147.239234;4114.000000;470.000000
9;4112.772694;424.281640;4024.700000;300.000000;88.072694;124.281640;152.324409;4107.000000;507.000000
10;4166.961913;384.764257;4040.300000;300.000000;126.661913;84.764257;152.408069;4158.000000;468.000000
11;4153.439599;303.259274;4055.800000;300.000000;97.639599;3.259274;97.693982;4129.000000;372.000000
12;4178.891997;240.038118;4071.400000;300.000000;107.491997;-59.961882;123.085161;4145.000000;302.000000
13;4189.055725;251.909233;4087.000000;300.000000;102.055725;-48.090767;112.818850;4158.000000;317.000000
14;4216.478037;249.830057;4102.600000;300.000000;113.878037;-50.169943;124.439666;4187.000000;318.000000
15;4196.364772;297.787928;4118.200000;300.000000;78.164772;-2.212072;78.196066;4174.000000;371.000000
16;4208.064329;306.037610;4133.800000;300.000000;74.264329;6.037610;74.509351;4188.000000;382.000000
17;4218.085825;262.619611;4149.400000;300.000000;68.685825;-37.380389;78.198696;4191.000000;333.000000
18;4250.773755;251.334041;4164.900000;300.000000;85.873755;-48.665959;98.705002;4224.000000;324.000000
19;4277.246344;238.123123;4180.500000;300.000000;96.746344;-61.876877;114.841643;4250.000000;312.000000
20;4272.415460;300.859129;4196.100000;300.000000;76.315460;0.859129;76.320296;4256.000000;384.000000
21;4303.203100;278.543692;4211.700000;300.000000;91.503100;-21.456308;93.985055;4285.000000;362.000000
22;4344.808449;325.926094;4227.300000;300.000000;117.508449;25.926094;120.334525;4338.000000;422.000000
23;4341.301797;279.639255;4242.900000;300.000000;98.401797;-20.360745;100.486186;4326.000000;368.000000
24;4336.331923;242.150944;4258.400000;300.000000;77.931923;-57.849056;97.056158;4314.000000;324.000000
25;4339.547564;267.729683;4274.000000;300.000000;65.547564;-32.270317;73.060635;4322.000000;354.000000
26;4355.632316;305.753435;4289.600000;300.000000;66.032316;5.753435;66.282492;4346.000000;400.000000
27;4334.500285;292.467267;4305.200000;300.000000;29.300285;-7.532733;30.253079;4321.000000;382.000000
28;4378.303287;281.716860;4320.800000;300.000000;57.503287;-18.283140;60.339881;4366.000000;375.000000
29;4437.973059;293.459292;4336.400000;300.000000;101.573059;-6.540708;101.783433;4432.000000;396.000000
30;4419.765464;285.043949;4351.900000;300.000000;67.865464;-14.956051;69.493918;4411.000000;384.000000
31;4424.223784;319.994928;4367.500000;300.000000;56.723784;19.994928;60.144699;4422.000000;425.000000
32;4442.287981;284.354865;4383.100000;300.000000;59.187981;-15.645135;61.220808;4435.000000;386.000000
33;4447.114133;289.021756;4398.700000;300.000000;48.414133;-10.978244;49.643228;4441.000000;392.000000
34;4511.030465;230.313756;4414.300000;300.000000;96.730465;-69.686244;119.218101;4499.000000;332.000000
35;4451.061352;310.201325;4429.900000;300.000000;21.161352;10.201325;23.491910;4449.000000;417.000000
36;4466.051167;326.739239;4445.500000;300.000000;20.551167;26.739239;33.724433;4468.000000;438.000000
37;4484.186155;329.977580;4461.000000;300.000000;23.186155;29.977580;37.897930;4488.000000;444.000000
38;4444.174203;497.592777;4476.600000;300.000000;-32.425797;197.592777;200.235706;4475.000000;633.000000
39;4486.017145;290.895150;4492.200000;300.000000;-6.182855;-9.104850;11.005725;4483.000000;399.000000
40;4492.163055;242.708201;4507.800000;300.000000;-15.636945;-57.291799;59.387408;4481.000000;344.000000
41;4524.114091;314.458316;4523.400000;300.000000;0.714091;14.458316;14.475939;4528.000000;431.000000
42;4506.345249;303.403580;4539.000000;300.000000;-32.654751;3.403580;32.831649;4507.000000;416.000000
43;4526.165105;268.439382;4554.500000;300.000000;-28.334895;-31.560618;42.413900;4522.000000;378.000000
44;4533.330494;281.496472;4570.100000;300.000000;-36.769506;-18.503528;41.162813;4532.000000;394.000000
45;4559.510970;258.811440;4585.700000;300.000000;-26.189030;-41.188560;48.809454;4556.000000;371.000000
46;4563.459875;257.523499;4601.300000;300.000000;-37.840125;-42.476501;56.886978;4560.000000;370.000000
47;4574.354274;276.229151;4616.900000;300.000000;-42.545726;-23.770849;48.735942;4575.000000;393.000000
48;4589.786991;233.958577;4632.500000;300.000000;-42.713009;-66.041423;78.650306;4584.000000;346.000000
49;4618.307871;208.430128;4648.100000;300.000000;-29.792129;-91.569872;96.294405;4610.000000;320.000000
