Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4296.910128;379.415308;3900.000000;300.000000;396.910128;79.415308;404.777026;4033.000000;498.000000
2;4407.034565;369.507998;3915.600000;300.000000;491.434565;69.507998;496.325794;4143.000000;490.000000
3;4368.020115;377.005919;3931.200000;300.000000;436.820115;77.005919;443.555773;4104.000000;499.000000
4;4371.130897;362.105942;3946.800000;300.000000;424.330897;62.105942;428.851791;4107.000000;476.000000
5;4445.920528;362.718759;3962.300000;300.000000;483.620528;62.718759;487.670439;4182.000000;482.000000
6;4417.988411;358.210225;3977.900000;300.000000;440.088411;58.210225;443.921435;4154.000000;473.000000
7;4388.003985;387.939089;3993.500000;300.000000;394.503985;87.939089;404.186439;4124.000000;517.000000
8;4378.138074;358.014150;4009.100000;300.000000;369.038074;58.014150;373.570264;4114.000000;470.000000
9;4370.988860;382.096762;4024.700000;300.000000;346.288860;82.096762;355.887416;4107.000000;507.000000
10;4421.961692;354.893583;4040.300000;300.000000;381.661692;54.893583;385.589098;4158.000000;468.000000
11;4393.354364;298.717183;4055.800000;300.000000;337.554364;-1.282817;337.556802;4129.000000;372.000000
12;4409.120651;259.794590;4071.400000;300.000000;337.720651;-40.205410;340.105444;4145.000000;302.000000
13;4421.761829;267.269215;4087.000000;300.000000;334.761829;-32.730785;336.358122;4158.000000;317.000000
14;4449.979899;266.705302;4102.600000;300.000000;347.379899;-33.294698;348.971820;4187.000000;318.000000
15;4437.517257;296.376203;4118.200000;300.000000;319.317257;-3.623797;319.337818;4174.000000;371.000000
16;4451.307567;302.084116;4133.800000;300.000000;317.507567;2.084116;317.514407;4188.000000;382.000000
17;4453.961996;274.637437;4149.400000;300.000000;304.561996;-25.362563;305.616212;4191.000000;333.000000
18;4486.022460;268.513060;4164.900000;300.000000;321.122460;-31.486940;322.662458;4224.000000;324.000000
19;4511.130040;261.125241;4180.500000;300.000000;330.630040;-38.874759;332.907601;4250.000000;312.000000
